Municipality,Terminal,Station,Latitude,Longitude,Nb of prefixed docks,Installed,Install date
Boston,A32000,Fan Pier,42.353412,-71.044624,15,Yes,3/19/14 13:00
Boston,A32001,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,15,Yes,3/12/14 13:00
Boston,A32002,Agganis Arena - 925 Comm Ave.,42.351313,-71.116174,19,Yes,3/28/14 12:00
Boston,A32003,B.U. Central - 725 Comm. Ave.,42.350075,-71.105884,19,Yes,3/28/14 11:00
Boston,A32004,Longwood Ave / Binney St,42.338629,-71.1065,15,Yes,3/11/14 12:00
Boston,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,15,Yes,3/12/14 9:00
Boston,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,42.365064,-71.119233,15,Yes,4/17/14 14:18
Boston,A32008,Buswell St. at Park Dr.,42.347241,-71.105301,15,Yes,3/28/14 13:00
Boston,A32009,Tremont St / W Newton St,42.341332,-71.076847,15,Yes,3/10/14 12:00
Boston,A32010,South Station - 700 Atlantic Ave.,42.352175,-71.055547,47,Yes,4/1/14 11:00
Boston,A32011,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,15,Yes,3/12/14 12:00
Boston,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,19,Yes,3/12/14 13:00
Boston,A32017,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,15,Yes,7/25/14 9:47
Boston,A32019,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,19,Yes,4/17/14 17:33
Boston,B32000,Newbury St / Hereford St,42.348717,-71.085954,19,Yes,4/24/14 16:08
Boston,B32002,Ruggles Station / Columbus Ave.,42.335911,-71.088496,15,Yes,3/11/14 12:00
Boston,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,17,Yes,3/11/14 11:00
Boston,B32004,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,19,Yes,3/18/14 14:00
Boston,B32005,Christian Science Plaza,42.343864,-71.085918,19,Yes,3/17/14 9:00
Boston,B32006,Colleges of the Fenway,42.340021,-71.100812,15,Yes,3/11/14 13:00
Boston,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,19,Yes,3/19/14 11:00
Boston,B32008,Mayor Martin J. Walsh - 28 State St.,42.35892,-71.057629,21,Yes,3/18/14 10:00
Boston,B32010,Kenmore Sq / Comm Ave,42.349046,-71.096831,19,Yes,3/28/14 10:00
Boston,B32011,Yawkey Way at Boylston St.,42.344763,-71.09788,19,Yes,3/31/14 11:00
Boston,B32012,Northeastern U / North Parking Lot,42.341814,-71.090179,15,Yes,3/17/14 15:56
Boston,B32013,Brigham Cir / Huntington Ave,42.334073,-71.105221,15,Yes,4/3/14 12:40
Boston,B32014,Seaport Hotel,42.348833,-71.041747,15,Yes,4/7/14 16:15
Boston,B32015,Landmark Centre,42.343912,-71.102221,11,Yes,3/11/14 10:00
Boston,B32016,Beacon St / Mass Ave,42.350851,-71.089886,19,Yes,3/27/14 9:00
Boston,B32017,Dudley Square,42.328654,-71.084198,15,Yes,3/17/14 11:00
Boston,B32018,Boylston / Mass Ave,42.347265,-71.088088,15,Yes,3/27/14 12:00
Boston,B32019,Longwood Ave/Riverway,42.340299,-71.109927,15,Yes,3/11/14 11:00
Boston,B32020,BIDMC - Brookline at Burlington St,42.345733,-71.100694,15,Yes,3/31/14 15:10
Boston,C32000,Tremont St. at Berkeley St.,42.345392,-71.069616,15,Yes,3/10/14 11:00
Boston,C32001,Roxbury Crossing Station,42.331184,-71.095171,15,Yes,3/11/14 13:00
Boston,C32002,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,19,Yes,3/27/14 18:04
Boston,C32003,Back Bay / South End Station,42.347433,-71.076163,19,Yes,3/10/14 12:00
Boston,C32004,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,11,Yes,3/10/14 13:00
Boston,C32005,Washington St. at Lenox St.,42.3348756,-71.0790969,15,Yes,3/17/14 12:00
Boston,C32006,Washington St. at Rutland St.,42.338623,-71.074182,19,Yes,3/27/14 10:00
Boston,C32007,Prudential Center / Belvidere,42.345959,-71.082578,25,Yes,3/17/14 10:00
Boston,C32008,Boylston at Fairfield,42.348762,-71.082383,19,Yes,4/24/14 13:42
Boston,C32009,Dorchester Ave. at Gillette Park,42.344023,-71.057054,15,Yes,3/14/14 13:00
Boston,C32010,Congress / Sleeper,42.3511,-71.0496,19,Yes,3/31/14 13:00
Boston,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,15,Yes,4/2/14 10:19
Boston,C32013,JFK / UMASS Station,42.320494,-71.051122,15,Yes,3/18/14 9:00
Boston,C32014,University of Massachusetts Boston,42.311819,-71.035705,19,Yes,3/18/14 13:00
Boston,C32015,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,15,Yes,4/3/14 10:25
Boston,C32016,West Broadway at Dorchester St,42.335693,-71.045859,17,Yes,4/3/14 9:41
Boston,C32017,South Boston Library - 646 East Broadway,42.335741,-71.03877,15,Yes,3/18/14 9:00
Boston,C32018,E. Cottage St at Columbia Rd,42.320561,-71.06198,19,Yes,4/2/14 11:02
Boston,C32019,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,15,Yes,4/2/14 11:27
Boston,C32020,ID Building East,42.344827,-71.028664,17,Yes,3/19/14 10:58
Boston,C32021,ID Building West,42.344796,-71.031614,19,Yes,3/19/14 11:00
Boston,C32022,Newmarket Square,42.326599,-71.066498,15,Yes,4/8/14 12:38
Boston,C32023,Day Boulevard,42.336448,-71.023739,19,Yes,4/11/14 10:29
Boston,C32024,Channel Center - A St / Richards St,42.344137,-71.052608,19,Yes,8/8/14 9:00
Boston,D32000,Cambridge St. at Joy St.,42.361285,-71.06514,15,Yes,3/31/14 9:00
Boston,D32001,New Balance - 20 Guest St.,42.357402,-71.147782,15,Yes,4/7/14 16:16
Boston,D32002,Washington St. at Waltham St.,42.341522,-71.068922,15,Yes,3/27/14 11:00
Boston,D32003,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,27,Yes,4/1/14 9:00
Boston,D32004,Franklin St. / Arch St.,42.355402,-71.058087,23,Yes,3/31/14 12:00
Boston,D32005,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,25,Yes,4/24/14 13:37
Boston,D32006,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,15,Yes,3/12/14 9:00
Boston,D32007,Boylston St. at Arlington St.,42.352096,-71.070378,23,Yes,3/27/14 12:00
Boston,D32008,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,15,Yes,4/1/14 14:00
Boston,D32009,Faneuil Hall - Union St. at North St.,42.360583,-71.056868,19,Yes,3/31/14 10:00
Boston,D32010,Cross St. at Hanover St.,42.362811,-71.056067,19,Yes,4/1/14 13:00
Boston,D32011,Stuart St. at Charles St.,42.351146,-71.066289,19,Yes,3/10/14 10:00
Boston,D32012,Post Office Square,42.356755,-71.055407,19,Yes,3/28/13 11:00
Boston,D32013,Boylston St / Berkeley St,42.350989,-71.073644,15,Yes,4/24/14 13:37
Boston,D32014,Tremont St / West St,42.354979,-71.063348,15,Yes,3/10/14 9:00
Boston,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,15,Yes,4/1/14 13:00
Boston,D32016,Charles Circle - Charles St. at Cambridge St.,42.36069,-71.070884,15,Yes,8/8/14 11:00
Boston,D32017,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,15,Yes,3/14/14 11:00
Boston,D32018,Boston Convention & Exhibition Center,42.3475,-71.0441,19,Yes,3/19/14 10:00
Boston,D32019,Boylston St / Washington St,42.352409,-71.062679,15,Yes,3/14/14 10:00
Boston,D32020,Charlestown - Main St at Austin St,42.375603,-71.064608,15,Yes,3/28/14 14:00
Boston,D32021,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,19,Yes,3/12/14 9:00
Boston,D32022,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,27,Yes,4/1/14 10:00
Boston,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,19,Yes,3/12/14 8:19
Boston,D32024,Charles St at Beacon St,42.356052,-71.069849,15,Yes,4/24/14 16:04
Boston,D32025,Milk St at India St,42.358508,-71.052984,19,Yes,3/31/14 14:38
Boston,D32026,Hayes Square at Vine St.,42.377022,-71.056605,19,Yes,3/28/14 16:47
Boston,D32027,New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,15,Yes,4/24/14 13:38
