,stationid,duration,nrides,ndays,lat,lng,popdensity,workdensity,ridesperday
0,3.0,713.75,9734.0,616.0,42.340021,-71.100812,20099.3583992,16692.7539338,15.8019480519
1,4.0,540.0,18058.0,584.0,42.345392,-71.069616,18086.2386049,21454.6596629,30.9212328767
2,5.0,570.0,10630.0,587.0,42.341814,-71.090179,19797.9457381,21044.2198776,18.1090289608
3,6.0,630.0,23322.0,608.0,42.361285,-71.06514,18666.6732438,13881.1698776,38.3585526316
4,7.0,705.0,9163.0,564.0,42.353412,-71.044624,16503.835555,9005.82500462,16.2464539007
5,8.0,960.0,7570.0,617.0,42.353334,-71.137313,16280.786425,9477.040112,12.2690437601
6,9.0,720.0,17180.0,591.0,42.351313,-71.116174,20584.2307372,12054.4495773,29.0693739425
7,10.0,660.0,16159.0,589.0,42.350075,-71.105884,21684.0133916,16397.7863885,27.4346349745
8,11.0,674.5,12393.0,619.0,42.338629,-71.1065,19313.5558519,13586.9022913,20.0210016155
9,12.0,589.75,10456.0,620.0,42.335911,-71.088496,17855.964344,19837.7576296,16.864516129
10,13.0,714.0,3798.0,320.0,42.334057,-71.07403,16396.3102229,20282.4923876,11.86875
11,14.0,660.0,15738.0,623.0,42.337171,-71.102797,19240.8890143,14968.5638854,25.2616372392
12,15.0,1080.0,5163.0,607.0,42.361667,-71.13802,16188.2126272,9889.42834825,8.5057660626
13,16.0,574.0,32860.0,624.0,42.347433,-71.076163,18865.8571125,23170.8484135,52.6602564103
14,17.0,944.75,11500.0,620.0,42.365074,-71.119581,19452.8849776,13116.1563423,18.5483870968
15,18.0,840.0,6672.0,587.0,42.36337,-71.129791,17999.6614767,10260.8328114,11.3662691652
16,19.0,720.0,6557.0,334.0,42.347527,-71.105828,21323.8877177,15526.2001929,19.6317365269
17,20.0,593.0,24474.0,622.0,42.35977,-71.051601,17354.9073959,9071.80060411,39.347266881
18,21.0,620.75,25551.0,622.0,42.345959,-71.082578,19803.7094394,23086.8065046,41.078778135
19,22.0,540.0,56443.0,623.0,42.352175,-71.055547,17455.4868895,10780.692947,90.5987158909
20,23.0,667.0,11024.0,324.0,42.359677,-71.059364,18107.4372843,10103.6574151,34.024691358
21,24.0,574.0,16131.0,622.0,42.351821,-71.045461,16536.1748692,9042.98827171,25.9340836013
22,25.0,540.0,19434.0,624.0,42.341332,-71.076847,18010.1952826,22419.369785,31.1442307692
23,26.0,540.0,18577.0,578.0,42.341522,-71.068922,17701.9728123,21210.0973705,32.1401384083
24,27.0,631.0,7734.0,619.0,42.331567,-71.094734,16349.1201413,16178.7527358,12.4943457189
