,stationid,duration,nrides,ndays,lat,lng,popdensity,workdensity,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,20099.3583992,16692.7539338,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,18086.2386049,21454.6596629,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,19797.9457381,21044.2198776,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,18666.6732438,13881.1698776,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,16503.835555,9005.82500462,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,16280.786425,9477.040112,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,20584.2307372,12054.4495773,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,21684.0133916,16397.7863885,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,19313.5558519,13586.9022913,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,17855.964344,19837.7576296,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,16396.3102229,20282.4923876,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,19240.8890143,14968.5638854,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,16188.2126272,9889.42834825,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,18865.8571125,23170.8484135,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,19452.8849776,13116.1563423,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,17999.6614767,10260.8328114,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,21323.8877177,15526.2001929,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,17354.9073959,9071.80060411,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,19803.7094394,23086.8065046,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,17455.4868895,10780.692947,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,18107.4372843,10103.6574151,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,16536.1748692,9042.98827171,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,18010.1952826,22419.369785,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,17701.9728123,21210.0973705,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,16349.1201413,16178.7527358,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,18934.8737483,11195.7955252,8.98783454988
