,start_day,seq_id,hubway_id,duration,strt_statn,end_statn,birth_date,riderateBoston,Unnamed: 0_x,24-Hour Passes Purchased (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Total Annual Members (All Time),Total Annual Memberships Sold,riderateNYC,Unnamed: 0_y,Total duration (ms),riderateMinneapolis
0,2011-07-28,90100.0,105034.0,866332.0,12776.0,13034.0,446298.0,424.0,,,,,,,,,,,,,,124849202.0,1385588972.0,1308.0
1,2011-07-29,371180.0,413017.0,1299681.0,16445.0,16432.0,384902.0,536.0,,,,,,,,,,,,,,127826565.0,1726635774.0,1321.0
2,2011-07-30,1088400.0,1207726.0,3415695.0,24625.0,24823.0,203583.0,800.0,,,,,,,,,,,,,,122760478.0,2146679072.0,1252.0
3,2011-07-31,2279848.0,2516194.0,4731046.0,31787.0,31865.0,203555.0,1007.0,,,,,,,,,,,,,,97283808.0,1576510353.0,981.0
4,2011-08-01,2491262.0,2744640.0,2416795.0,24020.0,23898.0,491515.0,788.0,,,,,,,,,,,,,,69102764.0,501630481.0,691.0
5,2011-08-02,2568646.0,2821393.0,1430530.0,20009.0,19826.0,601842.0,661.0,,,,,,,,,,,,,,94669041.0,821401938.0,939.0
6,2011-08-03,4251065.0,4655334.0,2678996.0,28870.0,29358.0,623377.0,910.0,,,,,,,,,,,,,,125136270.0,1337617625.0,1228.0
7,2011-08-04,6669864.0,7277744.0,3104575.0,37464.0,37879.0,811292.0,1168.0,,,,,,,,,,,,,,124777015.0,1360506591.0,1210.0
8,2011-08-05,11461821.0,12533920.0,5806477.0,52831.0,53422.0,1150822.0,1614.0,,,,,,,,,,,,,,157451360.0,2457865723.0,1507.0
9,2011-08-06,14133499.0,15498355.0,17605251.0,55227.0,55026.0,577291.0,1621.0,,,,,,,,,,,,,,163245390.0,3012839055.0,1540.0
10,2011-08-07,5624568.0,6170778.0,2344077.0,19030.0,19171.0,253333.0,573.0,,,,,,,,,,,,,,159986040.0,2374806317.0,1488.0
11,2011-08-08,9993375.0,10963138.0,3387434.0,30365.0,30078.0,845163.0,945.0,,,,,,,,,,,,,,160444320.0,1612159508.0,1472.0
12,2011-08-09,11198543.0,12296563.0,2173625.0,30025.0,30992.0,1057690.0,971.0,,,,,,,,,,,,,,158719524.0,1670813949.0,1437.0
