,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,destpop,destwork,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,24733.6322243,21506.9009123,23920.6951128,24609.3246699,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,21957.3074335,24194.1340774,22173.2505514,23411.1966371,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,23863.6550239,26998.2609341,23659.917915,25156.7127066,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,17854.9143331,8795.39394884,20926.2978866,22171.1613498,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,17618.1487651,6061.11147823,18781.9970472,20298.9528147,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,18669.7111728,6566.80030346,20173.8106621,20292.0330916,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,30846.7069665,30045.1452978,23070.7732931,24763.5181569,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,33743.6644805,48608.0768132,23596.4167093,26377.5736304,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,24582.7988262,15450.527927,23802.3170414,23560.1431271,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,23543.7230886,6897.29770403,23284.8314779,22697.046402,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,21711.090365,11222.5832454,22152.4199379,20611.549289,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,23363.9600894,12471.2717958,23771.1170789,23307.4557303,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,16480.9240425,7570.89930839,19514.9771786,21930.1801892,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,22651.3147785,38160.7018959,22682.6444222,24794.4976159,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,21208.1202143,14792.3040327,21308.0699114,23737.5043453,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,18648.4637718,10722.9226899,20555.2684389,22959.3590515,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,32014.4078506,43585.2399755,23779.4277769,26129.7882943,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,17321.3784879,6241.71859239,20049.6227823,21472.949807,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,23973.2668981,40272.9065833,23173.2256223,25453.984187,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,17007.7434207,11211.9465082,20544.0621994,22132.0071291,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,17760.5123786,7552.71011795,20755.3375695,22175.1317996,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,17323.5671556,7015.66678868,18860.6674392,20219.9675687,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,24489.0199067,21063.7642642,22774.0552701,23479.7681862,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,22977.82321,11509.0554316,22048.9651976,22346.0853322,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,19115.5231424,7849.34593479,23075.4905675,20810.1991526,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,19697.8933129,12738.5796822,21095.2294515,23458.5376561,8.98783454988
26,30.0,720.0,7556.0,412.0,42.334073,-71.105221,20952.2068035,7865.34148187,23476.2740635,21676.2074492,18.3398058252
27,31.0,570.0,9565.0,412.0,42.348833,-71.041747,18067.8950066,6616.26844189,17960.2382305,18764.0484964,23.2160194175
28,32.0,589.25,14902.0,446.0,42.343912,-71.102221,28696.2231111,35383.9963857,23954.6952488,25766.5905684,33.4125560538
29,33.0,660.0,21647.0,433.0,42.349046,-71.096831,29313.958553,45987.7558978,23628.5996774,26851.033966,49.9930715935
30,34.0,589.75,3886.0,280.0,42.346171,-71.099855,29995.043126,43044.4460544,23871.267107,26414.7606337,13.8785714286
31,35.0,478.5,8059.0,227.0,42.354594,-71.05896,17521.9566979,10872.9024845,20938.0500859,22726.0319623,35.5022026432
32,36.0,660.0,29532.0,423.0,42.349673,-71.077303,21814.7365781,38558.1856067,22646.091557,25190.5507052,69.8156028369
33,37.0,1229.5,808.0,207.0,42.357247,-71.146452,14747.5920382,7152.13511583,18323.5444415,19902.0067762,3.90338164251
34,38.0,643.0,17692.0,231.0,42.366231,-71.060868,15622.3852286,8634.90364874,20280.3235552,20053.4590137,76.5887445887
35,39.0,540.0,16519.0,434.0,42.338623,-71.074182,24942.640657,9298.6797027,22449.3922292,22233.9715309,38.0622119816
36,40.0,480.0,19812.0,446.0,42.363871,-71.050877,15642.5936595,6575.92203481,19922.7305182,20523.4486192,44.4215246637
37,41.0,785.5,11299.0,442.0,42.352261,-71.123831,26422.1588404,13377.6232953,22290.4586882,23136.6904029,25.5633484163
38,42.0,600.0,22112.0,432.0,42.352096,-71.070378,20401.8823949,26969.0793882,22024.9476745,24278.4155868,51.1851851852
39,43.0,420.0,21279.0,443.0,42.357143,-71.050699,17755.4641395,6316.75074768,19923.9348693,21584.9104393,48.0338600451
40,44.0,584.0,12793.0,431.0,42.360583,-71.056868,17409.2849661,7107.41507466,20523.5909692,21773.9956189,29.6821345708
41,45.0,630.0,14180.0,421.0,42.344763,-71.09788,28011.3598448,38252.8477544,23896.7247916,26190.1678812,33.6817102138
42,46.0,570.0,16436.0,446.0,42.343864,-71.085918,24054.0303321,34158.711299,23428.0912823,25381.2822481,36.8520179372
43,47.0,534.0,17931.0,437.0,42.362811,-71.056067,16499.1163204,7192.58899631,20349.5490557,21121.5124646,41.0320366133
44,48.0,422.0,20312.0,435.0,42.356755,-71.055407,17762.6730968,7422.06304341,20510.3905614,22195.6511657,46.6942528736
45,49.0,570.0,13575.0,444.0,42.351146,-71.066289,19541.320583,24195.7758003,21751.0647504,23676.5239976,30.5743243243
46,50.0,540.0,15977.0,400.0,42.350989,-71.073644,21132.1879045,32806.9867392,22320.3193276,24725.2063528,39.9425
47,51.0,634.0,3264.0,394.0,42.3348756,-71.0790969,23237.6934022,5715.67752277,22609.2464257,21443.7605542,8.28426395939
48,52.0,660.0,17980.0,435.0,42.348717,-71.085954,24704.8613936,43458.1389744,23219.2982695,26223.3552863,41.3333333333
49,53.0,541.0,23681.0,435.0,42.350851,-71.089886,24988.6847759,41632.9542833,23217.8353516,26645.6869861,54.4390804598
50,54.0,660.0,16900.0,411.0,42.354979,-71.063348,18189.4981852,13671.3031544,21327.580788,23259.234667,41.1192214112
51,55.0,540.0,15719.0,410.0,42.347265,-71.088088,25844.0029547,43672.793206,23425.3528821,26275.7110558,38.3390243902
52,56.0,671.0,1619.0,163.0,42.3281898,-71.0833545,15890.6532566,19772.8624098,22149.1547386,18874.6816696,9.93251533742
53,57.0,480.0,12646.0,429.0,42.340799,-71.081572,24313.0009554,21268.9088102,23120.2111796,23948.0563078,29.4778554779
54,58.0,660.0,17864.0,402.0,42.355596,-71.07278,19277.0859829,21867.3898058,21872.5583788,24300.6282613,44.4378109453
55,59.0,540.0,10290.0,416.0,42.351356,-71.059367,17696.326692,15322.1308249,21033.5550783,22659.6457616,24.7355769231
56,60.0,742.5,8648.0,189.0,42.360877,-71.07131,18295.0534665,13042.8598723,21184.5076669,22798.5858255,45.7566137566
57,61.0,654.75,6138.0,164.0,42.348323,-71.082674,23458.1789335,42544.1329658,23063.6328465,25808.0410118,37.4268292683
58,62.0,780.0,5199.0,366.0,42.340299,-71.109927,25026.5157667,15109.978657,23744.6851772,23694.8271565,14.2049180328
59,63.0,556.25,5149.0,382.0,42.344023,-71.057054,17376.5524782,15896.7192517,20597.6815014,20968.8468772,13.4790575916
60,64.0,495.0,16471.0,367.0,42.3511,-71.0496,16667.6291475,8995.73307146,19589.0204791,20942.4817511,44.8801089918
61,65.0,693.5,4409.0,352.0,42.3475,-71.0441,17635.7384167,8437.34666957,18375.3108644,19031.5123558,12.5255681818
62,66.0,900.0,4426.0,237.0,42.348607,-71.13401,20632.0176368,6422.22811801,20891.7252195,20002.7519702,18.6751054852
63,67.0,480.0,23370.0,258.0,42.3581,-71.093198,21285.2011873,29977.1236741,22375.8836463,25755.2186751,90.5813953488
64,68.0,600.0,13936.0,259.0,42.36507,-71.1031,25809.2908859,33377.129417,21549.4355769,23951.1439807,53.8069498069
65,69.0,840.0,6356.0,255.0,42.341598,-71.123338,20880.6423846,7370.12013144,22586.2909195,21138.0846686,24.9254901961
66,70.0,660.0,7016.0,260.0,42.372244,-71.121851,21663.1723296,14307.1929622,20146.2105728,22799.2637923,26.9846153846
