,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,46319.4647212,74916.4548325,5983.55308644,170072.531097,329836.589738,60598.2077489,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,41625.0228964,94884.2536421,13801.1342966,293380.669614,579502.368031,100287.611125,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,51632.7322794,96836.1897065,12123.7163737,218292.833721,443672.203036,78405.9945825,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,29920.5619418,137658.563572,30573.4248378,327623.968409,658717.013677,137806.371045,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,8737.06291641,83724.5983436,4747.83672285,235849.204248,427375.597091,85539.8061488,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,30269.5815123,12293.1652621,2921.59716988,106677.219212,85137.2678304,16274.2618027,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,34518.0219404,28229.977516,4674.69449661,148091.225844,217093.41615,50200.9262646,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,42077.5947732,68713.3836691,8216.41078189,180486.454351,316114.892197,69073.3627605,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,33744.834722,45284.174958,5648.41125309,144513.954926,263720.56726,49250.4532282,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,43345.1213068,53865.3628393,14380.3603655,186019.052366,403288.644578,68052.8172224,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,34051.106513,28792.3106146,2549.95264301,192378.888823,401099.6349,65104.3475866,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,36089.5880163,48982.8982367,7472.75250985,150118.338864,294090.417161,53350.6278296,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,15952.7178637,7923.97460435,16.8372132019,99825.8073036,95694.8410948,21116.8416165,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,43342.5734474,105593.603874,33726.1003022,297121.646072,593130.188094,105203.537642,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,21759.4558633,21298.4277112,1225.26139204,134722.057944,212891.328444,57152.0219253,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,18037.661183,11477.4018128,49.6565142633,115010.231414,142779.555038,35503.4518472,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,45475.3311585,74475.3236355,9657.06287218,176267.266905,308220.057105,64624.9307425,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,17621.0009856,138481.282496,20328.3670257,287398.336543,560560.527969,119237.069355,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,44430.0265659,100382.011753,24012.8309759,268708.799813,538700.490054,95834.1330545,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,21251.1066569,136913.04224,45583.4020454,307461.577495,587165.743876,112107.505066,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,27477.1874603,162320.557113,58801.0455559,325302.413993,647401.484808,134419.267422,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,9878.39555926,84428.2025526,6442.05294875,238534.438373,428911.359275,83891.9968601,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,45350.5203564,74843.2535985,12131.1035962,252000.74969,513038.466935,86283.8741951,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,39664.4618721,65392.7065192,4872.10634762,259984.201084,513056.161178,85862.1809812,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,35645.7200688,27574.5900207,10705.2251799,144077.720021,324386.810335,56173.9109718,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,19092.4359411,14512.531228,258.504585298,125827.930299,177709.133285,46166.2701055,8.98783454988
26,30.0,720.0,7556.0,412.0,42.334073,-71.105221,24533.8362425,25174.6268681,6940.08804268,128817.547815,253458.962549,46197.6343191,18.3398058252
27,31.0,570.0,9565.0,412.0,42.348833,-71.041747,9149.91333467,54422.4423298,3236.91507131,197592.44962,335291.727121,63727.4601217,23.2160194175
28,32.0,589.25,14902.0,446.0,42.343912,-71.102221,50458.9302996,88648.7953623,7661.61388509,180364.843573,333636.952027,64784.9822622,33.4125560538
29,33.0,660.0,21647.0,433.0,42.349046,-71.096831,47594.1600238,96055.6930388,13913.7269571,217553.300247,413611.275119,83335.8966659,49.9930715935
30,34.0,589.75,3886.0,280.0,42.346171,-71.099855,52468.4990097,99088.7840736,10705.1248632,197254.309419,369362.077001,72962.5633387,13.8785714286
31,35.0,478.5,8059.0,227.0,42.354594,-71.05896,26747.5395154,159131.389406,67912.0691534,328454.937421,642170.357043,125162.501818,35.5022026432
32,36.0,660.0,29532.0,423.0,42.349673,-71.077303,39860.7983367,107359.752732,33195.7430924,304777.382389,607433.744791,110563.746694,69.8156028369
33,37.0,1229.5,808.0,207.0,42.357247,-71.146452,22576.5939311,8992.05814035,73.0441794322,89636.0777204,60939.4712572,10697.4427132,3.90338164251
34,38.0,643.0,17692.0,231.0,42.366231,-71.060868,24155.9698694,101929.387555,11770.7541894,288823.470053,581683.897608,131391.709891,76.5887445887
35,39.0,540.0,16519.0,434.0,42.338623,-71.074182,41703.1054668,53534.1008187,5627.07633475,231937.175732,473654.369634,78008.8906183,38.0622119816
36,40.0,480.0,19812.0,446.0,42.363871,-71.050877,15867.1403876,106647.313991,8202.92438837,264326.101381,522835.403688,117720.75233,44.4215246637
37,41.0,785.5,11299.0,442.0,42.352261,-71.123831,34685.9198122,15881.9202265,5918.71315561,130807.702358,157611.006739,36075.7757318,25.5633484163
38,42.0,600.0,22112.0,432.0,42.352096,-71.070378,37979.3784321,127862.235204,25808.694158,331242.433563,658655.527,122356.051569,51.1851851852
39,43.0,420.0,21279.0,443.0,42.357143,-71.050699,15973.5155704,136388.455098,19399.0918121,286034.932218,548899.543334,113154.741685,48.0338600451
40,44.0,584.0,12793.0,431.0,42.360583,-71.056868,24555.5742798,156425.454566,46073.2607135,312907.158976,621152.602386,131420.605412,29.6821345708
41,45.0,630.0,14180.0,421.0,42.344763,-71.09788,54358.7881447,103740.299209,9058.36025682,201080.451612,385012.072923,73597.9773422,33.6817102138
42,46.0,570.0,16436.0,446.0,42.343864,-71.085918,48003.4169416,99036.8257215,17324.2916753,245193.146074,495046.420397,87451.2547698,36.8520179372
43,47.0,534.0,17931.0,437.0,42.362811,-71.056067,22807.8357611,137888.60034,28561.5696073,298432.267571,595114.459804,130001.171095,41.0320366133
44,48.0,422.0,20312.0,435.0,42.356755,-71.055407,22450.3842076,160375.151224,51245.1715844,314655.498329,613493.145673,124064.180339,46.6942528736
45,49.0,570.0,13575.0,444.0,42.351146,-71.066289,35961.6312238,133024.14185,32607.8290465,330560.6924,652000.547627,120203.709163,30.5743243243
46,50.0,540.0,15977.0,400.0,42.350989,-71.073644,39263.4220223,116896.506652,28048.131403,320651.101159,638499.891555,117252.781971,39.9425
47,51.0,634.0,3264.0,394.0,42.3348756,-71.0790969,38322.4197741,37263.1273936,4712.57710521,195552.938429,419158.831022,68665.6707189,8.28426395939
48,52.0,660.0,17980.0,435.0,42.348717,-71.085954,40338.2617603,97834.7008924,18179.9577646,266986.609818,528751.569258,98470.2972299,41.3333333333
