Unnamed: 0,destpop,destsubway,destwork,duration,lat,lng,ndays,nrides,originpop,originsubway,originwork,ridesperday,stationid
0.0,170072.531097,60598.2077489,329836.589738,660.0,42.340021,-71.100812,442.0,7653.0,46319.4647212,5983.55308644,74916.4548325,17.314479638,3.0
1.0,293380.669614,100287.611125,579502.368031,538.0,42.345392,-71.069616,419.0,12573.0,41625.0228964,13801.1342966,94884.2536421,30.0071599045,4.0
2.0,218292.833721,78405.9945825,443672.203036,541.0,42.341814,-71.090179,419.0,7718.0,51632.7322794,12123.7163737,96836.1897065,18.4200477327,5.0
3.0,327623.968409,137806.371045,658717.013677,600.0,42.361285,-71.06514,435.0,17133.0,29920.5619418,30573.4248378,137658.563572,39.3862068966,6.0
4.0,235849.204248,85539.8061488,427375.597091,600.0,42.353412,-71.044624,403.0,7028.0,8737.06291641,4747.83672285,83724.5983436,17.4392059553,7.0
5.0,106677.219212,16274.2618027,85137.2678304,912.0,42.353334,-71.137313,439.0,5274.0,30269.5815123,2921.59716988,12293.1652621,12.013667426,8.0
6.0,148091.225844,50200.9262646,217093.41615,720.0,42.351313,-71.116174,422.0,12393.0,34518.0219404,4674.69449661,28229.977516,29.3672985782,9.0
7.0,180486.454351,69073.3627605,316114.892197,600.5,42.350075,-71.105884,420.0,12190.0,42077.5947732,8216.41078189,68713.3836691,29.0238095238,10.0
8.0,144513.954926,49250.4532282,263720.56726,675.0,42.338629,-71.1065,444.0,10544.0,33744.834722,5648.41125309,45284.174958,23.7477477477,11.0
9.0,186019.052366,68052.8172224,403288.644578,559.0,42.335911,-71.088496,445.0,8300.0,43345.1213068,14380.3603655,53865.3628393,18.6516853933,12.0
10.0,192378.888823,65104.3475866,401099.6349,693.25,42.334057,-71.07403,230.0,3149.0,34051.106513,2549.95264301,28792.3106146,13.6913043478,13.0
11.0,150118.338864,53350.6278296,294090.417161,660.0,42.337171,-71.102797,446.0,13359.0,36089.5880163,7472.75250985,48982.8982367,29.9529147982,14.0
12.0,99825.8073036,21116.8416165,95694.8410948,1011.5,42.361667,-71.13802,436.0,3078.0,15952.7178637,16.8372132019,7923.97460435,7.05963302752,15.0
13.0,297121.646072,105203.537642,593130.188094,550.25,42.347433,-71.076163,446.0,26179.0,43342.5734474,33726.1003022,105593.603874,58.697309417,16.0
14.0,134722.057944,57152.0219253,212891.328444,854.5,42.365074,-71.119581,443.0,8152.0,21759.4558633,1225.26139204,21298.4277112,18.4018058691,17.0
15.0,115010.231414,35503.4518472,142779.555038,780.0,42.36337,-71.129791,418.0,4897.0,18037.661183,49.6565142633,11477.4018128,11.7153110048,18.0
16.0,176267.266905,64624.9307425,308220.057105,678.0,42.347527,-71.105828,238.0,4630.0,45475.3311585,9657.06287218,74475.3236355,19.4537815126,19.0
17.0,287398.336543,119237.069355,560560.527969,510.0,42.35977,-71.051601,444.0,17610.0,17621.0009856,20328.3670257,138481.282496,39.6621621622,20.0
18.0,268708.799813,95834.1330545,538700.490054,600.0,42.345959,-71.082578,446.0,19038.0,44430.0265659,24012.8309759,100382.011753,42.6860986547,21.0
19.0,307461.577495,112107.505066,587165.743876,509.0,42.352175,-71.055547,446.0,49288.0,21251.1066569,45583.4020454,136913.04224,110.511210762,22.0
20.0,325302.413993,134419.267422,647401.484808,606.0,42.359677,-71.059364,231.0,8244.0,27477.1874603,58801.0455559,162320.557113,35.6883116883,23.0
21.0,238534.438373,83891.9968601,428911.359275,540.0,42.351821,-71.045461,446.0,11599.0,9878.39555926,6442.05294875,84428.2025526,26.0067264574,24.0
22.0,252000.74969,86283.8741951,513038.466935,534.25,42.341332,-71.076847,446.0,14547.0,45350.5203564,12131.1035962,74843.2535985,32.6165919283,25.0
23.0,259984.201084,85862.1809812,513056.161178,510.0,42.341522,-71.068922,416.0,13633.0,39664.4618721,4872.10634762,65392.7065192,32.7716346154,26.0
24.0,144077.720021,56173.9109718,324386.810335,599.0,42.331567,-71.094734,444.0,5632.0,35645.7200688,10705.2251799,27574.5900207,12.6846846847,27.0
25.0,125827.930299,46166.2701055,177709.133285,780.0,42.363732,-71.124565,411.0,3694.0,19092.4359411,258.504585298,14512.531228,8.98783454988,29.0
26.0,128817.547815,46197.6343191,253458.962549,720.0,42.334073,-71.105221,412.0,7556.0,24533.8362425,6940.08804268,25174.6268681,18.3398058252,30.0
27.0,197592.44962,63727.4601217,335291.727121,570.0,42.348833,-71.041747,412.0,9565.0,9149.91333467,3236.91507131,54422.4423298,23.2160194175,31.0
28.0,180364.843573,64784.9822622,333636.952027,589.25,42.343912,-71.102221,446.0,14902.0,50458.9302996,7661.61388509,88648.7953623,33.4125560538,32.0
29.0,217553.300247,83335.8966659,413611.275119,660.0,42.349046,-71.096831,433.0,21647.0,47594.1600238,13913.7269571,96055.6930388,49.9930715935,33.0
30.0,197254.309419,72962.5633387,369362.077001,589.75,42.346171,-71.099855,280.0,3886.0,52468.4990097,10705.1248632,99088.7840736,13.8785714286,34.0
31.0,328454.937421,125162.501818,642170.357043,478.5,42.354594,-71.05896,227.0,8059.0,26747.5395154,67912.0691534,159131.389406,35.5022026432,35.0
32.0,304777.382389,110563.746694,607433.744791,660.0,42.349673,-71.077303,423.0,29532.0,39860.7983367,33195.7430924,107359.752732,69.8156028369,36.0
33.0,89636.0777204,10697.4427132,60939.4712572,1229.5,42.357247,-71.146452,207.0,808.0,22576.5939311,73.0441794322,8992.05814035,3.90338164251,37.0
34.0,288823.470053,131391.709891,581683.897608,643.0,42.366231,-71.060868,231.0,17692.0,24155.9698694,11770.7541894,101929.387555,76.5887445887,38.0
35.0,231937.175732,78008.8906183,473654.369634,540.0,42.338623,-71.074182,434.0,16519.0,41703.1054668,5627.07633475,53534.1008187,38.0622119816,39.0
36.0,264326.101381,117720.75233,522835.403688,480.0,42.363871,-71.050877,446.0,19812.0,15867.1403876,8202.92438837,106647.313991,44.4215246637,40.0
37.0,130807.702358,36075.7757318,157611.006739,785.5,42.352261,-71.123831,442.0,11299.0,34685.9198122,5918.71315561,15881.9202265,25.5633484163,41.0
38.0,331242.433563,122356.051569,658655.527,600.0,42.352096,-71.070378,432.0,22112.0,37979.3784321,25808.694158,127862.235204,51.1851851852,42.0
39.0,286034.932218,113154.741685,548899.543334,420.0,42.357143,-71.050699,443.0,21279.0,15973.5155704,19399.0918121,136388.455098,48.0338600451,43.0
40.0,312907.158976,131420.605412,621152.602386,584.0,42.360583,-71.056868,431.0,12793.0,24555.5742798,46073.2607135,156425.454566,29.6821345708,44.0
41.0,201080.451612,73597.9773422,385012.072923,630.0,42.344763,-71.09788,421.0,14180.0,54358.7881447,9058.36025682,103740.299209,33.6817102138,45.0
42.0,245193.146074,87451.2547698,495046.420397,570.0,42.343864,-71.085918,446.0,16436.0,48003.4169416,17324.2916753,99036.8257215,36.8520179372,46.0
43.0,298432.267571,130001.171095,595114.459804,534.0,42.362811,-71.056067,437.0,17931.0,22807.8357611,28561.5696073,137888.60034,41.0320366133,47.0
44.0,314655.498329,124064.180339,613493.145673,422.0,42.356755,-71.055407,435.0,20312.0,22450.3842076,51245.1715844,160375.151224,46.6942528736,48.0
45.0,330560.6924,120203.709163,652000.547627,570.0,42.351146,-71.066289,444.0,13575.0,35961.6312238,32607.8290465,133024.14185,30.5743243243,49.0
46.0,320651.101159,117252.781971,638499.891555,540.0,42.350989,-71.073644,400.0,15977.0,39263.4220223,28048.131403,116896.506652,39.9425,50.0
47.0,195552.938429,68665.6707189,419158.831022,634.0,42.3348756,-71.0790969,394.0,3264.0,38322.4197741,4712.57710521,37263.1273936,8.28426395939,51.0
48.0,266986.609818,98470.2972299,528751.569258,660.0,42.348717,-71.085954,435.0,17980.0,40338.2617603,18179.9577646,97834.7008924,41.3333333333,52.0
49.0,253645.985541,97224.8383685,496141.339741,541.0,42.350851,-71.089886,435.0,23681.0,37177.7564579,12475.291572,87261.1743153,54.4390804598,53.0
50.0,339268.017601,130184.639146,671587.152806,660.0,42.354979,-71.063348,411.0,16900.0,31957.9009387,61735.4822979,156400.028043,41.1192214112,54.0
51.0,252555.253364,92630.4582175,499854.130846,540.0,42.347265,-71.088088,410.0,15719.0,45049.4264171,17474.3820719,102257.661517,38.3390243902,55.0
52.0,144299.731612,55850.2625515,331179.594991,671.0,42.3281898,-71.0833545,163.0,1619.0,35841.4699737,4213.96214959,15969.4581191,9.93251533742,56.0
53.0,238095.169556,83127.5873228,490766.79428,480.0,42.340799,-71.081572,429.0,12646.0,45758.1739711,14154.2721128,77666.5933357,29.4778554779,57.0
54.0,331264.694756,128271.501188,662562.100157,660.0,42.355596,-71.07278,402.0,17864.0,33376.9678227,15751.6480151,118439.864581,44.4378109453,58.0
55.0,319774.474138,115752.224847,618222.589426,540.0,42.351356,-71.059367,416.0,10290.0,26566.8034775,48396.5197951,137017.181442,24.7355769231,59.0
56.0,322221.812965,133929.238157,647956.444612,742.5,42.360877,-71.07131,189.0,8648.0,28611.8501332,16698.963282,108212.857846,45.7566137566,60.0
57.0,279449.196355,101550.541203,556466.991105,654.75,42.348323,-71.082674,164.0,6138.0,40521.8210196,24508.2007858,100342.544409,37.4268292683,61.0
58.0,140094.90132,45483.3435013,235979.191837,780.0,42.340299,-71.109927,366.0,5199.0,33727.8842842,5476.29185468,40147.0247619,14.2049180328,62.0
59.0,260489.896388,83325.614846,480632.344158,556.25,42.344023,-71.057054,382.0,5149.0,23805.9009715,8918.1394271,66275.7368446,13.4790575916,63.0
60.0,267155.894302,94024.5941874,490869.066565,495.0,42.3511,-71.0496,367.0,16471.0,13963.9479516,16857.8959701,104505.876628,44.8801089918,64.0
61.0,209552.298967,66472.0786312,357885.81449,693.5,42.3475,-71.0441,352.0,4409.0,12359.8124852,3409.52887748,59816.8327108,12.5255681818,65.0
62.0,108762.380999,16557.5949465,88253.2402638,900.0,42.348607,-71.13401,237.0,4426.0,31063.8864647,6462.34074473,11473.5647347,18.6751054852,66.0
63.0,234203.5906,101114.336104,456896.865855,480.0,42.3581,-71.093198,258.0,23370.0,27644.381102,3771.4657348,52928.965177,90.5813953488,67.0
64.0,176076.258842,86667.1173422,333353.969683,600.0,42.36507,-71.1031,259.0,13936.0,41581.7758482,16547.6999017,52667.5293213,53.8069498069,68.0
65.0,111563.060167,24703.569049,125936.989741,840.0,42.341598,-71.123338,255.0,6356.0,31589.2998811,5365.36748213,11922.5867657,24.9254901961,69.0
66.0,116723.270034,50637.7366407,181885.048682,660.0,42.372244,-71.121851,260.0,7016.0,26771.5155412,17758.1288108,31086.2546967,26.9846153846,70.0
67.0,110678.809149,46522.8433669,159063.852814,660.0,42.383405,-71.107593,245.0,2935.0,26999.4583054,251.065252016,13744.9363477,11.9795918367,71.0
68.0,263235.293957,114125.026045,522251.385093,604.0,42.362613,-71.084105,251.0,10415.0,21355.9404102,14319.124672,50030.5487975,41.4940239044,72.0
69.0,116558.746037,51441.3892158,183236.660643,765.5,42.373231,-71.120886,261.0,6504.0,27823.8177825,21301.5421663,32543.1558385,24.9195402299,73.0
70.0,120896.14918,55083.9214123,195102.733402,780.0,42.373268,-71.118579,261.0,15547.0,26523.3836439,22683.7827195,30313.8150279,59.5670498084,74.0
71.0,189215.344922,91179.5754807,362803.941613,600.0,42.363562,-71.10042,255.0,14412.0,40006.0006178,12831.2697982,53447.028002,56.5176470588,75.0
72.0,165449.136208,82293.2926157,308543.401783,600.0,42.366426,-71.105495,262.0,11072.0,40236.8735527,14146.7246667,49104.147181,42.2595419847,76.0
73.0,108726.303957,41706.7601519,147567.637537,900.0,42.386428,-71.096413,252.0,1835.0,39917.9133907,4.10238933707,11647.7129064,7.28174603175,77.0
74.0,137897.817773,61458.6724317,223023.779819,720.0,42.379637,-71.095319,257.0,4092.0,34848.1310745,4.08030101228,15945.5037754,15.9221789883,78.0
75.0,126917.493485,58814.8123529,205118.16777,600.0,42.378551,-71.106541,252.0,5393.0,28027.5438134,399.515803742,18330.2174031,21.4007936508,79.0
76.0,235310.275165,105364.959509,462976.178628,600.0,42.362429,-71.090188,256.0,15279.0,25011.4448233,12125.4658937,45216.076821,59.68359375,80.0
77.0,332292.383329,122677.580517,651822.00986,570.0,42.352409,-71.062679,253.0,9283.0,31409.4353396,51924.3648516,145024.71291,36.6916996047,81.0
78.0,94204.8406664,23966.0981453,122638.489031,1000.0,42.333689,-71.120526,39.0,301.0,12562.5568107,3727.75145815,4905.73276651,7.71794871795,82.0
79.0,132684.745282,40839.0038302,244689.49141,960.0,42.325941,-71.065928,218.0,1055.0,21592.4117054,816.029593115,8001.10756054,4.83944954128,83.0
80.0,266922.218258,119098.467363,529781.225381,780.0,42.366981,-71.076472,252.0,7870.0,21926.0729401,7981.60054054,51818.1470052,31.2301587302,84.0
81.0,148076.727177,39810.276869,246929.989249,757.0,42.330825,-71.057007,35.0,236.0,23573.111892,6258.53049005,10535.5977408,6.74285714286,85.0
82.0,98646.8443903,29381.6733328,150927.812984,930.0,42.332799,-71.116205,247.0,3685.0,11419.7359036,4244.25744028,6183.16179435,14.9190283401,86.0
83.0,143805.953399,67759.5104295,247880.60078,480.0,42.366621,-71.114214,231.0,5242.0,28484.4406546,3093.61151861,32196.0109177,22.6926406926,87.0
84.0,150627.366444,73703.7523899,267671.292612,600.0,42.374035,-71.101427,240.0,8233.0,32031.2316651,797.48284638,27143.8308849,34.3041666667,88.0
85.0,105411.547976,45756.7288222,157613.897443,600.0,42.379011,-71.119945,232.0,4232.0,32519.3772266,8891.952548,37724.5098407,18.2413793103,89.0
86.0,234352.575573,107813.207909,455745.909836,772.75,42.3707,-71.07711,234.0,6790.0,20529.7901243,8550.60096076,33389.4727318,29.0170940171,90.0
87.0,211818.765087,99230.6629568,411947.274015,600.0,42.366277,-71.09169,238.0,10533.0,28273.0642193,6088.44791679,40319.3645252,44.256302521,91.0
88.0,42746.1170084,7730.78092073,43302.8894336,1500.0,42.311819,-71.035705,176.0,616.0,2364.71461039,4.58495484352,700.290196333,3.5,92.0
89.0,88478.7146258,19347.2202929,110626.522169,1230.0,42.320494,-71.051122,201.0,774.0,26660.6226883,8561.98045717,7960.15524708,3.85074626866,93.0
90.0,199966.177131,99944.468068,389198.03238,840.0,42.375603,-71.064608,218.0,4927.0,20530.0305232,1969.25957549,23193.1364302,22.6009174312,94.0
91.0,170480.103408,81776.0599014,311701.333916,570.0,42.372969,-71.094445,231.0,5518.0,29780.4611913,381.771780805,26561.6864585,23.8874458874,95.0
92.0,134457.29997,65549.2436618,231413.012812,600.0,42.373379,-71.111075,231.0,5920.0,26717.7099439,6292.35457444,27337.3861993,25.6277056277,96.0
