,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,2948062.18296,,583097.339656,440424835.33,,89291941.4995,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,2943369.60225,,592283.697613,453314655.928,,91891656.5653,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,2959263.5292,,591111.134384,446250441.555,,90469641.1014,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,2928472.24861,,612964.404333,460033469.114,,93317662.0079,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,2896019.60027,,581866.291741,444700409.431,,90168992.2652,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,2926700.54453,,579532.259097,429887314.356,,87125080.5123,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,2928207.3109,,582806.806852,436269938.415,,88449948.2849,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,2942538.71344,,587828.03329,440348136.662,,89289142.1397,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,2926208.67563,,582994.843679,436783958.615,,88552797.7928,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,2940148.41539,,597205.978628,442715210.7,,89761011.5244,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,2932100.74764,,579400.56913,441349240.498,,89478843.8853,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,2930924.53499,,586301.828456,437895319.852,,88781773.1882,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,2905413.54105,,576091.852466,428805306.581,,86923192.1819,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,2946093.03692,,628339.076616,454404758.029,,92114362.9154,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,2911182.17948,,577329.630997,435346966.295,,88293869.154,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,2907656.39505,,576124.709097,431946960.189,,87572203.0739,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,2949803.37781,,590039.442991,440149739.997,,89240611.7172,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,2909619.68015,,601511.110586,453468475.163,,91982502.5756,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,2942467.57943,,607173.367953,451388979.835,,91504577.8118,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,2912824.12809,,642290.685839,455512507.03,,92357991.4674,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,2924020.03677,,661992.121399,459699793.709,,93246762.6292,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,2897471.30918,,584075.9807,445082673.255,,90239877.877,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,2948671.28056,,590456.907298,448995061.484,,91017803.0134,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,2941998.8051,,581687.345737,448790441.7,,90973801.6404,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,2934824.91695,,591084.585822,437838794.347,,88783025.8586,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,2907929.19352,,576334.74284,433849118.753,,87971045.428,8.98783454988
26,30.0,720.0,7556.0,412.0,42.334073,-71.105221,2915392.21957,,586166.055033,434914607.223,,88182292.155,18.3398058252
27,31.0,570.0,9565.0,412.0,42.348833,-71.041747,2896605.04936,,580829.003296,439338018.006,,89066278.4201,23.2160194175
28,32.0,589.25,14902.0,446.0,42.343912,-71.102221,2958623.62206,,586026.537487,441243724.86,,89457668.9449,33.4125560538
29,33.0,660.0,21647.0,433.0,42.349046,-71.096831,2953090.09344,,596976.357357,445074908.194,,90243653.7653,49.9930715935
30,34.0,589.75,3886.0,280.0,42.346171,-71.099855,2964522.87827,,589905.048118,443078156.093,,89832900.7482,13.8785714286
31,35.0,478.5,8059.0,227.0,42.354594,-71.05896,2920860.79083,,673020.446427,459192156.784,,93115903.319,35.5022026432
32,36.0,660.0,29532.0,423.0,42.349673,-71.077303,2940899.63621,,626942.829713,455379799.738,,92316204.1363,69.8156028369
33,37.0,1229.5,808.0,207.0,42.357247,-71.146452,2912528.78963,,576148.730792,426660019.564,,86480476.3032,3.90338164251
34,38.0,643.0,17692.0,231.0,42.366231,-71.060868,2918671.65347,,590360.72456,454575992.0,,92237520.8948,76.5887445887
35,39.0,540.0,16519.0,434.0,42.338623,-71.074182,2947518.97025,,583757.072645,446133601.935,,90440310.4826,38.0622119816
36,40.0,480.0,19812.0,446.0,42.363871,-71.050877,2907734.22815,,585264.216103,450196701.279,,91338837.2629,44.4215246637
37,41.0,785.5,11299.0,442.0,42.352261,-71.123831,2932219.42757,,584875.049985,434027687.215,,87979563.0338,25.5633484163
38,42.0,600.0,22112.0,432.0,42.352096,-71.070378,2938982.51946,,609892.721201,458953899.981,,93050124.3393,51.1851851852
39,43.0,420.0,21279.0,443.0,42.357143,-71.050699,2906291.17345,,598613.708128,452852687.712,,91842673.5887,48.0338600451
40,44.0,584.0,12793.0,431.0,42.360583,-71.056868,2920237.33138,,641864.158903,457868222.619,,92880966.2381,29.6821345708
41,45.0,630.0,14180.0,421.0,42.344763,-71.09788,2967548.6924,,586958.61144,443813360.492,,89979594.7894,33.6817102138
42,46.0,570.0,16436.0,446.0,42.343864,-71.085918,2949305.98862,,598846.349685,448994807.276,,91021724.267,36.8520179372
43,47.0,534.0,17931.0,437.0,42.362811,-71.056067,2918396.09486,,614761.088272,455805613.285,,92474341.538,41.0320366133
44,48.0,422.0,20312.0,435.0,42.356755,-71.055407,2915365.5393,,642774.436217,457465319.733,,92777542.7528,46.6942528736
45,49.0,570.0,13575.0,444.0,42.351146,-71.066289,2934758.76111,,618311.938021,458762705.946,,93010460.4765,30.5743243243
46,50.0,540.0,15977.0,400.0,42.350989,-71.073644,2941874.11069,,614255.323361,457409253.657,,92731576.0175,39.9425
47,51.0,634.0,3264.0,394.0,42.3348756,-71.0790969,2934705.32635,,582096.838331,442653791.548,,89745490.241,8.28426395939
48,52.0,660.0,17980.0,435.0,42.348717,-71.085954,2936251.47602,,600218.273199,450981326.893,,91428456.5081,41.3333333333
49,53.0,541.0,23681.0,435.0,42.350851,-71.089886,2931319.35044,,592720.132743,449095769.733,,91056446.2212,54.4390804598
50,54.0,660.0,16900.0,411.0,42.354979,-71.063348,2928445.51178,,666590.640059,460814748.193,,93445066.8302,41.1192214112
51,55.0,540.0,15719.0,410.0,42.347265,-71.088088,2945274.52348,,600700.775692,449509615.3,,91130112.7163,38.3390243902
52,56.0,671.0,1619.0,163.0,42.3281898,-71.0833545,2936271.26103,,582555.083283,437267092.122,,88670811.8882,9.93251533742
53,57.0,480.0,12646.0,429.0,42.340799,-71.081572,2944366.05419,,595381.769631,447968507.839,,90813022.1449,29.4778554779
54,58.0,660.0,17864.0,402.0,42.355596,-71.07278,2930278.58851,,594207.672063,459231152.576,,93118705.202,44.4378109453
55,59.0,540.0,10290.0,416.0,42.351356,-71.059367,2920483.50664,,640748.286257,457220661.742,,92700959.4527,24.7355769231
56,60.0,742.5,8648.0,189.0,42.360877,-71.07131,2924578.87977,,601233.994925,458680883.652,,93032188.9641,45.7566137566
57,61.0,654.75,6138.0,164.0,42.348323,-71.082674,2936998.53453,,607802.14009,452461599.642,,91724651.2857,37.4268292683
58,62.0,780.0,5199.0,366.0,42.340299,-71.109927,2926617.10033,,583684.174265,435903823.625,,88370510.3252,14.2049180328
59,63.0,556.25,5149.0,382.0,42.344023,-71.057054,2913604.32368,,588564.618343,447952684.648,,90801741.0069,13.4790575916
60,64.0,495.0,16471.0,367.0,42.3511,-71.0496,2902568.3487,,597700.653238,449301122.362,,91092621.5331,44.8801089918
61,65.0,693.5,4409.0,352.0,42.3475,-71.0441,2900558.99466,,580565.724988,441066724.087,,89411845.6715,12.5255681818
62,66.0,900.0,4426.0,237.0,42.348607,-71.13401,2925074.71475,,585485.063959,430424050.52,,87232706.0378,18.6751054852
63,67.0,480.0,23370.0,258.0,42.3581,-71.093198,2917480.70627,,580164.823085,446281606.453,,90519806.1021,90.5813953488
64,68.0,600.0,13936.0,259.0,42.36507,-71.1031,2952742.73898,,604453.511085,440082520.431,,89295537.219,53.8069498069
65,69.0,840.0,6356.0,255.0,42.341598,-71.123338,2933485.13663,,584278.287215,431411294.294,,87445860.119,24.9254901961
66,70.0,660.0,7016.0,260.0,42.372244,-71.121851,2919693.62525,,602751.374952,434009331.079,,88021197.8535,26.9846153846
67,71.0,660.0,2935.0,245.0,42.383405,-71.107593,2920163.97337,,576328.464976,433824442.337,,87977328.5467,11.9795918367
68,72.0,604.0,10415.0,251.0,42.362613,-71.084105,2912193.71968,,598563.986127,450346663.215,,91341502.3476,41.4940239044
69,73.0,765.5,6504.0,261.0,42.373231,-71.120886,2921278.25432,,610979.568953,434137035.019,,88048930.9656,24.9195402299
70,74.0,780.0,15547.0,261.0,42.373268,-71.118579,2917917.44629,,614532.785067,434670854.38,,88162011.2251,59.5670498084
71,75.0,600.0,14412.0,255.0,42.363562,-71.10042,2947298.88034,,595161.19193,441422000.761,,89564032.8114,56.5176470588
72,76.0,600.0,11072.0,262.0,42.366426,-71.105495,2949355.39763,,598366.903211,439023347.33,,89079978.9154,42.2595419847
73,77.0,900.0,1835.0,252.0,42.386428,-71.096413,2945352.06468,,576079.103165,433081612.148,,87817381.1313,7.28174603175
74,78.0,720.0,4092.0,257.0,42.379637,-71.095319,2935196.65315,,576079.080629,436422574.739,,88512406.3193,15.9221789883
75,79.0,600.0,5393.0,252.0,42.378551,-71.106541,2921234.31051,,576477.6115,435423132.718,,88316572.8104,21.4007936508
76,80.0,600.0,15279.0,256.0,42.362429,-71.090188,2915902.83235,,594073.463535,446789912.52,,90629975.8945,59.68359375
77,81.0,570.0,9283.0,253.0,42.352409,-71.062679,2927501.13415,,647477.086319,459264734.752,,93119058.9426,36.6916996047
78,82.0,1000.0,301.0,39.0,42.333689,-71.120526,2899799.93417,,581331.06792,428815583.474,,86935604.0419,7.71794871795
79,83.0,960.0,1055.0,218.0,42.325941,-71.065928,2909975.37694,,576933.755112,433192216.75,,87827804.3461,4.83944954128
80,84.0,780.0,7870.0,252.0,42.366981,-71.076472,2913496.61901,,585862.824032,451198692.35,,91526282.085,31.2301587302
81,85.0,757.0,236.0,35.0,42.330825,-71.057007,2913296.6442,,586317.981982,434050101.212,,87987625.4486,6.74285714286
82,86.0,930.0,3685.0,247.0,42.332799,-71.116205,2897972.94336,,582373.344023,429679273.677,,87116809.0634,14.9190283401
83,87.0,480.0,5242.0,231.0,42.366621,-71.114214,2922523.81335,,579292.244068,436661930.694,,88581133.5759,22.6926406926
84,88.0,600.0,8233.0,240.0,42.374035,-71.101427,2925349.92384,,576890.411956,437815915.221,,88818035.9919,34.3041666667
85,89.0,600.0,4232.0,232.0,42.379011,-71.119945,2930232.38382,,586772.388428,433465320.511,,87908672.67,18.2413793103
86,90.0,772.75,6790.0,234.0,42.3707,-71.07711,2912040.49465,,589523.082213,446949194.711,,90668451.6012,29.0170940171
87,91.0,600.0,10533.0,238.0,42.366277,-71.09169,2921468.0672,,583145.477493,444353542.264,,90144382.9006,44.256302521
88,92.0,1500.0,616.0,176.0,42.311819,-71.035705,2888004.69839,,576079.587988,420494731.579,,85266607.094,3.5
89,93.0,1230.0,774.0,201.0,42.320494,-71.051122,2922315.0915,,590092.861375,427131251.991,,86593889.1592,3.85074626866
90,94.0,840.0,4927.0,218.0,42.375603,-71.064608,2916162.11838,,578419.528842,441697708.077,,89632174.8853,22.6009174312
91,95.0,570.0,5518.0,231.0,42.372969,-71.094445,2921917.62647,,576459.844806,439935781.467,,89244592.0848,23.8874458874
92,96.0,600.0,5920.0,231.0,42.373379,-71.111075,2916565.10391,,583199.2115,436093919.941,,88465454.5563,25.6277056277
93,97.0,923.0,123.0,14.0,42.369182,-71.117152,2914896.18082,,587292.11273,435613392.92,,88359242.8198,8.78571428571
