,stationid,duration,nrides,ndays
0,3.0,660.0,7653.0,442.0
1,4.0,538.0,12573.0,419.0
2,5.0,541.0,7718.0,419.0
3,6.0,600.0,17133.0,435.0
4,7.0,600.0,7028.0,403.0
5,8.0,912.0,5274.0,439.0
6,9.0,720.0,12393.0,422.0
7,10.0,600.5,12190.0,420.0
8,11.0,675.0,10544.0,444.0
9,12.0,559.0,8300.0,445.0
10,13.0,693.25,3149.0,230.0
11,14.0,660.0,13359.0,446.0
12,15.0,1011.5,3078.0,436.0
13,16.0,550.25,26179.0,446.0
14,17.0,854.5,8152.0,443.0
15,18.0,780.0,4897.0,418.0
16,19.0,678.0,4630.0,238.0
17,20.0,510.0,17610.0,444.0
18,21.0,600.0,19038.0,446.0
19,22.0,509.0,49288.0,446.0
20,23.0,606.0,8244.0,231.0
21,24.0,540.0,11599.0,446.0
22,25.0,534.25,14547.0,446.0
23,26.0,510.0,13633.0,416.0
24,27.0,599.0,5632.0,444.0
25,29.0,780.0,3694.0,411.0
26,30.0,720.0,7556.0,412.0
27,31.0,570.0,9565.0,412.0
28,32.0,589.25,14902.0,446.0
29,33.0,660.0,21647.0,433.0
30,34.0,589.75,3886.0,280.0
31,35.0,478.5,8059.0,227.0
32,36.0,660.0,29532.0,423.0
33,37.0,1229.5,808.0,207.0
34,38.0,643.0,17692.0,231.0
35,39.0,540.0,16519.0,434.0
36,40.0,480.0,19812.0,446.0
37,41.0,785.5,11299.0,442.0
38,42.0,600.0,22112.0,432.0
39,43.0,420.0,21279.0,443.0
40,44.0,584.0,12793.0,431.0
41,45.0,630.0,14180.0,421.0
42,46.0,570.0,16436.0,446.0
43,47.0,534.0,17931.0,437.0
44,48.0,422.0,20312.0,435.0
45,49.0,570.0,13575.0,444.0
46,50.0,540.0,15977.0,400.0
47,51.0,634.0,3264.0,394.0
48,52.0,660.0,17980.0,435.0
49,53.0,541.0,23681.0,435.0
50,54.0,660.0,16900.0,411.0
51,55.0,540.0,15719.0,410.0
52,56.0,671.0,1619.0,163.0
53,57.0,480.0,12646.0,429.0
54,58.0,660.0,17864.0,402.0
55,59.0,540.0,10290.0,416.0
56,60.0,742.5,8648.0,189.0
57,61.0,654.75,6138.0,164.0
58,62.0,780.0,5199.0,366.0
59,63.0,556.25,5149.0,382.0
60,64.0,495.0,16471.0,367.0
61,65.0,693.5,4409.0,352.0
62,66.0,900.0,4426.0,237.0
63,67.0,480.0,23370.0,258.0
64,68.0,600.0,13936.0,259.0
65,69.0,840.0,6356.0,255.0
66,70.0,660.0,7016.0,260.0
67,71.0,660.0,2935.0,245.0
68,72.0,604.0,10415.0,251.0
69,73.0,765.5,6504.0,261.0
70,74.0,780.0,15547.0,261.0
71,75.0,600.0,14412.0,255.0
72,76.0,600.0,11072.0,262.0
73,77.0,900.0,1835.0,252.0
74,78.0,720.0,4092.0,257.0
75,79.0,600.0,5393.0,252.0
76,80.0,600.0,15279.0,256.0
77,81.0,570.0,9283.0,253.0
78,82.0,1000.0,301.0,39.0
79,83.0,960.0,1055.0,218.0
80,84.0,780.0,7870.0,252.0
81,85.0,757.0,236.0,35.0
82,86.0,930.0,3685.0,247.0
83,87.0,480.0,5242.0,231.0
84,88.0,600.0,8233.0,240.0
85,89.0,600.0,4232.0,232.0
86,90.0,772.75,6790.0,234.0
87,91.0,600.0,10533.0,238.0
88,92.0,1500.0,616.0,176.0
89,93.0,1230.0,774.0,201.0
90,94.0,840.0,4927.0,218.0
91,95.0,570.0,5518.0,231.0
92,96.0,600.0,5920.0,231.0
93,97.0,923.0,123.0,14.0
94,98.0,780.0,8428.0,229.0
95,99.0,600.0,9589.0,213.0
96,100.0,915.0,881.0,196.0
97,101.0,660.0,355.0,45.0
98,102.0,630.0,5837.0,185.0
99,103.0,660.0,11052.0,188.0
100,104.0,765.0,1116.0,120.0
101,105.0,870.0,471.0,162.0
102,106.0,660.0,487.0,40.0
103,107.0,720.0,237.0,42.0
104,108.0,960.0,53.0,35.0
105,109.0,840.0,39.0,24.0
106,110.0,1080.0,1037.0,186.0
107,111.0,660.0,10690.0,215.0
108,112.0,480.0,9899.0,210.0
109,113.0,660.0,15506.0,211.0
110,114.0,600.0,15239.0,182.0
111,115.0,780.0,3249.0,176.0
112,116.0,540.0,1060.0,43.0
113,117.0,480.0,655.0,42.0
114,118.0,870.0,150.0,39.0
115,119.0,570.0,299.0,22.0
116,120.0,1110.0,186.0,42.0
117,121.0,870.0,213.0,43.0
118,122.0,930.0,320.0,43.0
119,123.0,900.0,99.0,38.0
120,124.0,780.0,201.0,32.0
121,125.0,735.0,115.0,30.0
122,126.0,900.0,2477.0,186.0
123,127.0,780.0,2434.0,167.0
124,128.0,570.0,14095.0,201.0
125,129.0,660.0,2674.0,197.0
126,130.0,510.0,4178.0,172.0
127,131.0,780.0,5201.0,207.0
128,132.0,600.0,3887.0,189.0
129,133.0,480.0,3533.0,208.0
130,134.0,210.0,1398.0,108.0
131,135.0,480.0,3261.0,109.0
132,136.0,600.0,1696.0,81.0
133,137.0,600.0,4279.0,120.0
134,138.0,720.0,2608.0,206.0
135,139.0,690.0,5377.0,212.0
136,140.0,600.0,1008.0,197.0
137,141.0,720.0,1216.0,201.0
138,142.0,330.0,883.0,101.0
139,143.0,600.0,757.0,100.0
140,144.0,180.0,1319.0,100.0
141,145.0,795.0,142.0,34.0
