,id,terminal,station,municipal,lat,lng,status,originpop,originwork,originsubway,destpop,destwork,destsubway
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,326.19341353,527.580667834,47.4885165591,64.0541096914,107.996853188,22.1771414782
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,293.133964059,668.19896931,109.532811878,72.1943031857,199.156421662,51.2652269819
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,363.6107907,681.944997933,96.2199712197,75.4554113441,147.776492776,32.8463101496
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,210.708182689,969.426504029,242.646228872,58.3576930614,209.883868532,55.2262638249
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,61.5286120874,589.60984749,37.6812438322,34.6448526868,149.796566533,39.4128002196
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,213.166066988,86.5715863525,23.187279126,23.7750775324,21.4699615624,5.13609593903
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,243.084661552,198.802658564,37.1007499731,50.5503919007,70.3208837593,14.6202247272
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,296.321089952,483.897068092,65.2096093801,64.5980712469,107.497909523,22.382318069
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,237.639681141,318.902640549,44.8286607388,55.0480128849,85.3805751664,17.0352507617
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,305.247333146,379.333541122,114.129844171,65.8042593851,119.183271647,26.3010469198
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,239.79652474,202.762750807,20.2377193889,58.2666475201,116.360428022,27.9856601325
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,254.152028284,344.949987583,59.307559602,57.3335208869,91.3857606095,18.5059446744
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,112.343083548,55.8026380588,0.133628676206,23.5654695368,21.3105919633,5.70579327148
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,305.229390475,743.616928692,267.667462716,79.1328269322,205.168244373,51.4335740979
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,153.235604671,149.988927544,9.72429676225,44.1798301285,52.2060607945,13.2640427894
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,127.025782979,80.8267733299,0.39409931955,32.879981052,33.75966069,8.9241326791
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,320.248810976,524.474110109,76.6433561285,64.1972054189,106.44882274,21.85217434
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,124.091556237,975.220299267,161.336246236,42.8760645376,183.267230498,48.4888445832
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,312.887511027,706.915575725,190.578023618,80.8082435196,186.010842613,44.4974702317
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,149.655680682,964.176353803,361.773032107,53.5254114257,202.100027431,54.0444626213
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,193.501320143,1143.10251488,466.674964729,54.1309505745,210.08131798,55.7742087088
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,69.5661659103,594.564806709,51.1274043551,36.0975579518,151.543263663,39.9645603444
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,319.369861665,527.065166186,96.2785999697,74.0448006043,170.342749173,41.5782244852
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,279.327196282,460.512017741,38.6675106954,67.1325101796,172.130864597,43.8532939007
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,251.026197668,194.187253667,84.9621046023,53.1263507301,83.6236802895,17.6535457265
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,134.453774233,102.200924141,2.05162369284,39.0081745757,43.2563008446,11.126653029
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,172.773494666,177.286104705,55.0800638308,49.1009171687,73.0824403409,14.6911043534
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,64.4360093991,383.256636125,25.6898021533,29.5274973715,121.903072727,31.7384818728
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,355.344579575,624.287291284,60.8064594055,66.7750360421,114.546353304,23.5819047614
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,335.170141013,676.448542527,110.426404422,74.8957322482,143.449412348,31.2444873755
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,369.496471899,697.808338546,84.9613084382,71.094443562,127.997649531,26.9681882982
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,188.362954334,1120.64358736,538.984675821,58.2512569286,217.04690079,57.9813969541
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,280.709847441,756.054596703,263.458278511,79.9476419519,210.315729885,52.7232434904
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,158.990098107,63.3243531011,0.57971570978,15.3834374305,11.7435979748,3.02699811666
34,38,D32003,TD Garden - Legends Way,Boston,42.366231,-71.060868,Removed,170.112463869,717.812588416,93.4186840425,45.2125086995,175.586239629,45.6999884211
35,39,C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,Existing,293.683841315,377.000709991,44.6593359901,67.6980740116,151.712253004,37.1941610245
36,40,D32006,Lewis Wharf - Atlantic Ave.,Boston,42.363871,-71.050877,Existing,111.740425265,751.03742247,65.1025745109,37.2816497503,163.387827187,42.7021201906
37,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,42.352261,-71.123831,Existing,244.267040931,111.844508638,46.9739139334,40.0941121526,48.0309111258,10.3825153345
38,42,D32007,Boylston St. at Arlington St.,Boston,42.352096,-71.070378,Existing,267.460411494,900.438276085,204.830906016,74.1000655679,225.358764185,58.6966220891
39,43,D32008,Rowes Wharf - Atlantic Ave,Boston,42.357143,-71.050699,Existing,112.48954627,960.482078155,153.961046128,43.5053958841,184.156556848,48.8960507333
40,44,D32009,Faneuil Hall - Union St. at North St.,Boston,42.360583,-71.056868,Existing,172.926579435,1101.58770821,365.660799313,49.6399451025,200.233853749,53.0716172182
41,45,B32011,Yawkey Way at Boylston St.,Boston,42.344763,-71.09788,Existing,382.808367216,730.565487385,71.89174807,72.3889483538,132.588024601,28.1457816537
42,46,B32005,Christian Science Plaza,Boston,42.343864,-71.085918,Existing,338.052231983,697.442434658,137.494378375,79.1451721065,168.631003541,39.0333953486
43,47,D32010,Cross St. at Hanover St.,Boston,42.362811,-71.056067,Existing,160.618561698,971.04648127,226.679123868,45.5652016783,187.549228183,49.403475968
44,48,D32012,Post Office Square,Boston,42.356755,-71.055407,Existing,158.101297236,1129.4024734,406.707710987,51.338221894,204.96808044,54.6744149057
45,49,D32011,Stuart St. at Charles St.,Boston,42.351146,-71.066289,Existing,253.250924111,936.789731341,258.79229402,69.8782565773,223.627826882,58.9585668185
46,50,D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,Existing,276.502971988,823.21483558,222.604217484,77.3492255979,219.823995525,56.3595215418
47,51,C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,Existing,269.876195592,262.416390096,37.4014055969,62.9719427172,122.285693461,28.6366133285
48,52,B32000,Newbury St / Hereford St,Boston,42.348717,-71.085954,Existing,284.072265918,688.976766848,144.285379084,81.3061255137,184.03514648,43.4021219284
49,53,B32016,Beacon St / Mass Ave,Boston,42.350851,-71.089886,Existing,261.815186323,614.51531208,99.0102505711,79.4234242747,171.942588794,39.7028228529
50,54,D32014,Tremont St / West St,Boston,42.354979,-71.063348,Existing,225.055640414,1101.40864819,489.964145222,64.2369976906,225.848990133,60.0356780166
51,55,B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,Existing,317.249481811,720.12437688,138.685571999,80.5680879842,173.740753408,40.0955580669
52,56,B32017,Dudley Square,Boston,42.3281898,-71.0833545,Removed,252.404718124,112.46097267,33.4441440444,47.773092848,75.4776982697,16.8995301343
53,57,C32004,Columbus Ave. at Mass. Ave.,Boston,42.340799,-71.081572,Existing,322.240661768,546.947840392,112.335492959,75.2258340217,161.259159829,38.0582345729
54,58,D32017,The Esplanade - Beacon St. at Arlington St.,Boston,42.355596,-71.07278,Existing,235.049069174,834.083553385,125.013079485,73.1959636629,222.392186928,57.5725947371
55,59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,42.351356,-71.059367,Existing,187.090165334,964.909728463,384.099363453,59.8938221922,212.530815645,56.7445055457
56,60,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.360877,-71.07131,Removed,201.491902346,762.062379199,132.531454619,64.113612819,207.224049964,53.8074726236
57,61,C32008,Boylston at Fairfield,Boston,42.348323,-71.082674,Removed,285.364936758,706.637636682,194.509530046,81.5211067808,193.401377874,46.6368760581
58,62,B32019,Longwood Ave/Riverway,Boston,42.340299,-71.109927,Existing,237.52031186,282.725526493,43.4626337673,52.5845108652,79.1257843603,15.6491016956
59,63,C32009,Dorchester Ave. at Gillette Park,Boston,42.344023,-71.057054,Existing,167.64718994,466.730541159,70.778884342,52.6140671223,167.040046025,44.1827897954
60,64,C32010,Congress / Sleeper,Boston,42.3511,-71.0496,Existing,98.3376616313,735.956877662,133.79282516,43.193780413,172.033079431,45.7530387814
61,65,D32018,Boston Convention & Exhibition Center,Boston,42.3475,-71.0441,Existing,87.0409329945,421.24530078,27.0597529959,32.8501583755,129.514559063,33.9250604043
62,66,A32017,Allston Green District - Commonwealth Ave & Griggs St,Boston,42.348607,-71.13401,Existing,218.759763836,80.799751653,51.288418609,25.9695677808,25.2090244119,5.65235381851
63,67,M32006,MIT at Mass Ave / Amherst St,Cambridge,42.3581,-71.093198,Existing,194.678740155,372.739191387,29.9322677365,70.8329988389,147.154295896,34.1855746676
64,68,M32011,Central Square at Mass Ave / Essex St,Cambridge,42.36507,-71.1031,Existing,292.829407382,370.898093812,131.330951601,56.9291981091,90.4258858537,21.2833260703
65,69,K32001,Coolidge Corner - Beacon St @ Centre St,Brookline,42.341598,-71.123338,Existing,222.459858318,83.961878632,42.5822816042,34.9277610845,42.4767213494,8.57158410612
66,70,M32016,Harvard Kennedy School at Bennett St / Eliot St,Cambridge,42.372244,-71.121851,Existing,188.531799586,218.917286596,140.937530245,38.8214809264,40.8778516919,11.743959893
67,71,S32004,Conway Park - Somerville Avenue,Somerville,42.383405,-71.107593,Existing,190.13703032,96.7953263926,1.99258136521,35.0441225864,34.3581320627,9.79692753927
68,72,M32003,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,42.362613,-71.084105,Existing,150.393946551,352.327808433,113.643846603,64.9201764849,162.041985991,39.8998270352
69,73,M32017,Harvard Square at Brattle St / Eliot St,Cambridge,42.373231,-71.120886,Existing,195.94237875,229.177153792,169.059858463,39.1520048713,41.0819871765,11.8719253729
70,74,M32018,Harvard Square at Mass Ave/ Dunster,Cambridge,42.373268,-71.118579,Existing,186.784391859,213.477570619,180.030021583,40.9988613782,44.0600070096,12.5073531107
71,75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,42.363562,-71.10042,Existing,281.732398717,376.387521141,101.835474589,59.9979634827,102.939344693,23.9544081367
72,76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,42.366426,-71.105495,Existing,283.358264456,345.803853387,112.275592593,54.3115590068,80.4420369864,19.2626768751
73,77,S32001,Somerville City Hall,Somerville,42.386428,-71.096413,Existing,281.112066131,82.0261472284,0.0325586455323,27.0247644673,29.3157123494,7.50170140475
74,78,S32002,Union Square - Somerville,Somerville,42.379637,-71.095319,Existing,245.409373764,112.292280108,0.0323833413673,36.0192804483,49.9005161164,12.3269326799
75,79,S32003,Beacon St at Washington / Kirkland,Somerville,42.378551,-71.106541,Existing,197.377069108,129.08603805,3.17076034716,40.6228660866,45.8347699657,12.3685083049
76,80,M32005,MIT Stata Center at Vassar St / Main St,Cambridge,42.362429,-71.090188,Existing,176.136935375,318.423076204,96.2338562993,64.9487248668,141.460647553,33.8254658575
77,81,D32019,Boylston St / Washington St,Boston,42.352409,-71.062679,Existing,221.193206617,1021.30079514,412.098133743,64.708708541,222.509166017,59.1939477403
78,82,K32002,Brookline Town Hall / Library Washington St,Brookline,42.333689,-71.120526,Removed,88.4687099344,34.5474138487,29.5853290329,30.1587101642,36.5528973734,7.39110374069
79,83,C32011,South Bay Plaza,Boston,42.325941,-71.065928,Existing,152.059237362,56.3458278912,6.47642534218,34.6482620438,55.8974769784,13.5212671741
80,84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,42.366981,-71.076472,Existing,154.408964367,364.916528206,63.346036036,53.7267819055,156.65976427,39.5437591696
81,85,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330825,-71.057007,Removed,166.007830225,74.1943502872,49.6708769052,34.6453189971,71.8714899762,18.1650717926
82,86,K32003,Brookline Village - Station Street @ MBTA,Brookline,42.332799,-71.116205,Existing,80.4206753776,43.543392918,33.6845828594,34.0952928133,43.5987108942,8.73480344387
83,87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge,42.366621,-71.114214,Existing,200.594652497,226.732471251,24.5524723699,48.4804047673,61.1296049993,15.3287285634
84,88,M32010,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,42.374035,-71.101427,Existing,225.57205398,191.153738626,6.32922893952,45.8939837387,63.692520274,15.9261874596
85,89,M32020,Harvard Law School at Mass Ave / Jarvis St,Cambridge,42.379011,-71.119945,Existing,229.009698779,265.665562259,70.5710519683,36.1005371105,34.769586176,10.6921093415
