id,station_id,update,nbBikes,nbEmptyDocks,capacity
1,3,2011-08-22 16:23:33.557-04,12,5,17
2,5,2011-08-22 16:23:33.557-04,4,11,15
3,6,2011-08-22 16:23:33.557-04,8,7,15
4,8,2011-08-22 16:23:33.557-04,2,13,15
5,9,2011-08-22 16:23:33.557-04,6,13,19
6,10,2011-08-22 16:23:33.557-04,6,13,19
7,11,2011-08-22 16:23:33.557-04,9,6,15
8,12,2011-08-22 16:23:33.557-04,5,10,15
9,13,2011-08-22 16:23:33.557-04,4,11,15
10,14,2011-08-22 16:23:33.557-04,6,11,17
11,15,2011-08-22 16:23:33.557-04,2,13,15
12,16,2011-08-22 16:23:33.557-04,12,7,19
13,17,2011-08-22 16:23:33.557-04,11,4,15
14,18,2011-08-22 16:23:33.557-04,5,10,15
15,20,2011-08-22 16:23:33.557-04,13,6,19
16,21,2011-08-22 16:23:33.557-04,6,17,23
17,22,2011-08-22 16:23:33.557-04,22,25,47
18,23,2011-08-22 16:23:33.557-04,16,2,18
19,24,2011-08-22 16:23:33.557-04,10,5,15
20,25,2011-08-22 16:23:33.557-04,6,9,15
21,26,2011-08-22 16:23:33.557-04,8,7,15
22,27,2011-08-22 16:23:33.557-04,5,9,14
23,30,2011-08-22 16:23:33.557-04,5,10,15
24,31,2011-08-22 16:23:33.557-04,6,5,11
25,32,2011-08-22 16:23:33.557-04,6,5,11
26,33,2011-08-22 16:23:33.557-04,8,11,19
27,34,2011-08-22 16:23:33.557-04,9,6,15
28,35,2011-08-22 16:23:33.557-04,0,11,11
29,36,2011-08-22 16:23:33.557-04,7,9,16
30,37,2011-08-22 16:23:33.557-04,8,7,15
31,38,2011-08-22 16:23:33.557-04,15,20,35
32,39,2011-08-22 16:23:33.557-04,6,13,19
33,40,2011-08-22 16:23:33.557-04,4,9,13
34,41,2011-08-22 16:23:33.557-04,11,8,19
35,42,2011-08-22 16:23:33.557-04,10,9,19
36,43,2011-08-22 16:23:33.557-04,7,8,15
37,44,2011-08-22 16:23:33.557-04,18,1,19
38,45,2011-08-22 16:23:33.557-04,11,8,19
39,46,2011-08-22 16:23:33.557-04,11,8,19
40,47,2011-08-22 16:23:33.557-04,9,2,11
41,48,2011-08-22 16:23:33.557-04,7,8,15
42,49,2011-08-22 16:23:33.557-04,4,11,15
43,50,2011-08-22 16:23:33.557-04,1,14,15
44,51,2011-08-22 16:23:33.557-04,7,8,15
45,52,2011-08-22 16:23:33.557-04,5,9,14
46,53,2011-08-22 16:23:33.557-04,7,8,15
47,55,2011-08-22 16:23:33.557-04,4,11,15
48,56,2011-08-22 16:23:33.557-04,4,11,15
49,57,2011-08-22 16:23:33.557-04,9,2,11
50,3,2011-08-22 16:44:57.201-04,12,5,17
51,5,2011-08-22 16:44:57.201-04,4,11,15
52,6,2011-08-22 16:44:57.201-04,8,7,15
53,8,2011-08-22 16:44:57.201-04,2,13,15
54,9,2011-08-22 16:44:57.201-04,8,11,19
55,10,2011-08-22 16:44:57.201-04,5,14,19
56,11,2011-08-22 16:44:57.201-04,6,9,15
57,12,2011-08-22 16:44:57.201-04,5,10,15
58,13,2011-08-22 16:44:57.201-04,2,13,15
59,14,2011-08-22 16:44:57.201-04,4,13,17
60,15,2011-08-22 16:44:57.201-04,3,12,15
61,16,2011-08-22 16:44:57.201-04,12,7,19
62,17,2011-08-22 16:44:57.201-04,6,9,15
63,18,2011-08-22 16:44:57.201-04,5,10,15
64,20,2011-08-22 16:44:57.201-04,15,4,19
65,21,2011-08-22 16:44:57.201-04,9,14,23
66,22,2011-08-22 16:44:57.201-04,23,24,47
67,23,2011-08-22 16:44:57.201-04,14,4,18
68,24,2011-08-22 16:44:57.201-04,12,3,15
69,25,2011-08-22 16:44:57.201-04,3,12,15
70,26,2011-08-22 16:44:57.201-04,8,7,15
71,27,2011-08-22 16:44:57.201-04,5,9,14
72,30,2011-08-22 16:44:57.201-04,5,10,15
73,31,2011-08-22 16:44:57.201-04,6,5,11
74,32,2011-08-22 16:44:57.201-04,5,6,11
75,33,2011-08-22 16:44:57.201-04,7,12,19
76,34,2011-08-22 16:44:57.201-04,10,5,15
77,35,2011-08-22 16:44:57.201-04,0,11,11
78,36,2011-08-22 16:44:57.201-04,3,13,16
79,37,2011-08-22 16:44:57.201-04,8,7,15
80,38,2011-08-22 16:44:57.201-04,18,17,35
81,39,2011-08-22 16:44:57.201-04,10,9,19
82,40,2011-08-22 16:44:57.201-04,9,4,13
83,41,2011-08-22 16:44:57.201-04,5,14,19
84,42,2011-08-22 16:44:57.201-04,8,11,19
85,43,2011-08-22 16:44:57.201-04,6,9,15
86,44,2011-08-22 16:44:57.201-04,18,1,19
87,45,2011-08-22 16:44:57.201-04,11,8,19
88,46,2011-08-22 16:44:57.201-04,10,9,19
89,47,2011-08-22 16:44:57.201-04,8,3,11
90,48,2011-08-22 16:44:57.201-04,4,11,15
91,49,2011-08-22 16:44:57.201-04,0,15,15
92,50,2011-08-22 16:44:57.201-04,0,15,15
93,51,2011-08-22 16:44:57.201-04,7,8,15
94,52,2011-08-22 16:44:57.201-04,8,6,14
95,53,2011-08-22 16:44:57.201-04,9,6,15
96,55,2011-08-22 16:44:57.201-04,1,14,15
97,56,2011-08-22 16:44:57.201-04,4,11,15
98,57,2011-08-22 16:44:57.201-04,7,4,11
99,3,2011-08-22 16:45:58.076-04,12,5,17
100,5,2011-08-22 16:45:58.076-04,4,11,15
101,6,2011-08-22 16:45:58.076-04,8,7,15
102,8,2011-08-22 16:45:58.076-04,2,13,15
103,9,2011-08-22 16:45:58.076-04,8,11,19
104,10,2011-08-22 16:45:58.076-04,5,14,19
105,11,2011-08-22 16:45:58.076-04,6,9,15
106,12,2011-08-22 16:45:58.076-04,5,10,15
107,13,2011-08-22 16:45:58.076-04,2,13,15
108,14,2011-08-22 16:45:58.076-04,4,13,17
109,15,2011-08-22 16:45:58.076-04,3,12,15
110,16,2011-08-22 16:45:58.076-04,12,7,19
111,17,2011-08-22 16:45:58.076-04,6,9,15
112,18,2011-08-22 16:45:58.076-04,5,10,15
113,20,2011-08-22 16:45:58.076-04,15,4,19
114,21,2011-08-22 16:45:58.076-04,9,14,23
115,22,2011-08-22 16:45:58.076-04,23,24,47
116,23,2011-08-22 16:45:58.076-04,14,4,18
117,24,2011-08-22 16:45:58.076-04,12,3,15
118,25,2011-08-22 16:45:58.076-04,3,12,15
119,26,2011-08-22 16:45:58.076-04,8,7,15
120,27,2011-08-22 16:45:58.076-04,5,9,14
121,30,2011-08-22 16:45:58.076-04,5,10,15
122,31,2011-08-22 16:45:58.076-04,6,5,11
123,32,2011-08-22 16:45:58.076-04,5,6,11
124,33,2011-08-22 16:45:58.076-04,7,12,19
125,34,2011-08-22 16:45:58.076-04,10,5,15
126,35,2011-08-22 16:45:58.076-04,0,11,11
127,36,2011-08-22 16:45:58.076-04,2,14,16
128,37,2011-08-22 16:45:58.076-04,8,7,15
129,38,2011-08-22 16:45:58.076-04,18,17,35
130,39,2011-08-22 16:45:58.076-04,10,9,19
131,40,2011-08-22 16:45:58.076-04,9,4,13
132,41,2011-08-22 16:45:58.076-04,5,14,19
133,42,2011-08-22 16:45:58.076-04,8,11,19
134,43,2011-08-22 16:45:58.076-04,6,9,15
135,44,2011-08-22 16:45:58.076-04,18,1,19
136,45,2011-08-22 16:45:58.076-04,11,8,19
137,46,2011-08-22 16:45:58.076-04,10,9,19
138,47,2011-08-22 16:45:58.076-04,8,3,11
139,48,2011-08-22 16:45:58.076-04,3,12,15
140,49,2011-08-22 16:45:58.076-04,0,15,15
141,50,2011-08-22 16:45:58.076-04,0,15,15
142,51,2011-08-22 16:45:58.076-04,7,8,15
143,52,2011-08-22 16:45:58.076-04,8,6,14
144,53,2011-08-22 16:45:58.076-04,9,6,15
145,55,2011-08-22 16:45:58.076-04,1,14,15
146,56,2011-08-22 16:45:58.076-04,4,11,15
147,57,2011-08-22 16:45:58.076-04,7,4,11
148,3,2011-08-22 16:46:58.87-04,12,5,17
149,5,2011-08-22 16:46:58.87-04,4,11,15
150,6,2011-08-22 16:46:58.87-04,8,7,15
151,8,2011-08-22 16:46:58.87-04,2,13,15
152,9,2011-08-22 16:46:58.87-04,8,11,19
153,10,2011-08-22 16:46:58.87-04,5,14,19
154,11,2011-08-22 16:46:58.87-04,6,9,15
155,12,2011-08-22 16:46:58.87-04,5,10,15
156,13,2011-08-22 16:46:58.87-04,2,13,15
157,14,2011-08-22 16:46:58.87-04,4,13,17
158,15,2011-08-22 16:46:58.87-04,3,12,15
159,16,2011-08-22 16:46:58.87-04,12,7,19
160,17,2011-08-22 16:46:58.87-04,6,9,15
161,18,2011-08-22 16:46:58.87-04,5,10,15
162,20,2011-08-22 16:46:58.87-04,15,4,19
163,21,2011-08-22 16:46:58.87-04,9,14,23
164,22,2011-08-22 16:46:58.87-04,23,24,47
165,23,2011-08-22 16:46:58.87-04,13,5,18
166,24,2011-08-22 16:46:58.87-04,14,1,15
167,25,2011-08-22 16:46:58.87-04,3,12,15
168,26,2011-08-22 16:46:58.87-04,8,7,15
