,nodeid,latitude,longitude
0,328838667,42.3573829,-71.1161650
1,2690466587,42.3574679,-71.1161587
2,2690466556,42.3575689,-71.1161320
3,2688743633,42.3576864,-71.1161172
4,329032616,42.3577514,-71.1161056
5,2688743623,42.3577833,-71.1160846
6,2688743625,42.3578460,-71.1160664
7,2688743619,42.3578946,-71.1160657
8,329020541,42.3579481,-71.1160679
9,3077216406,42.3579866,-71.1160601
10,3077216407,42.3580116,-71.1160550
11,3077216410,42.3580357,-71.1160502
12,3077216411,42.3580588,-71.1160455
13,3077216414,42.3580839,-71.1160404
14,3077216415,42.3581043,-71.1160363
15,3077216418,42.3581263,-71.1160318
16,3077216419,42.3581479,-71.1160274
17,329025309,42.3581994,-71.1160170
18,2688743627,42.3582289,-71.1159945
19,2688743628,42.3582458,-71.1159653
20,2688743632,42.3582960,-71.1159405
21,328814886,42.3583625,-71.1159246
22,328806020,42.3585088,-71.1159120
23,2688743631,42.3586003,-71.1158917
24,2688743617,42.3586969,-71.1158711
25,328831110,42.3587795,-71.1158487
26,2688743618,42.3588417,-71.1158503
27,2688743624,42.3589075,-71.1158680
28,328817963,42.3589629,-71.1158644
29,2688743616,42.3590312,-71.1158529
30,2688743626,42.3591273,-71.1158566
31,2688743630,42.3592198,-71.1158655
32,328852608,42.3593085,-71.1158875
33,2688743620,42.3593782,-71.1158984
34,328842954,42.3594632,-71.1159020
35,2688743622,42.3595952,-71.1159081
36,2688743621,42.3597535,-71.1159238
37,329037954,42.3598589,-71.1159523
38,329020594,42.3603482,-71.1160107
39,328811326,42.3605345,-71.1160460
40,328802186,42.3607989,-71.1160735
41,328827424,42.3610473,-71.1161007
42,2688736287,42.3610897,-71.1161085
43,328847641,42.3611333,-71.1161317
44,2688736295,42.3611711,-71.1161646
45,2688736283,42.3612362,-71.1162360
46,2688736278,42.3612698,-71.1162621
47,2688736270,42.3612437,-71.1163550
48,329035536,42.3612518,-71.1163826
49,2688736280,42.3614244,-71.1164023
50,329023529,42.3614439,-71.1163892
51,328814963,42.3614950,-71.1162267
52,2688736276,42.3615502,-71.1161580
53,328810886,42.3617692,-71.1161745
54,328822019,42.3623666,-71.1162214
55,328852064,42.3624871,-71.1162276
56,2688736267,42.3636822,-71.1162489
57,2688736261,42.3641903,-71.1162520
58,2688736272,42.3641859,-71.1163385
59,328833023,42.3641950,-71.1163542
60,2688736269,42.3643636,-71.1163793
61,2688736282,42.3643744,-71.1163625
62,328823765,42.3643809,-71.1162661
63,2688736291,42.3644570,-71.1162700
64,328838564,42.3645217,-71.1162682
65,2688736297,42.3646009,-71.1162637
66,329033703,42.3647186,-71.1162379
