,nodeid,latitude,longitude
0,1039911201,42.3520665,-71.1096654
1,1039559741,42.3520709,-71.1101320
2,3049427268,42.3520917,-71.1102940
3,1039989008,42.3520998,-71.1103567
4,3049427267,42.3521141,-71.1104771
5,3073733885,42.3521360,-71.1106620
6,2691810182,42.3530285,-71.1103646
7,2691810176,42.3530246,-71.1102546
8,2691810108,42.3530285,-71.1100883
9,2691810110,42.3530265,-71.1099193
10,2691810152,42.3530226,-71.1098469
11,1040710107,42.3530038,-71.1096385
12,2691875377,42.3530067,-71.1095760
13,2691875380,42.3530186,-71.1095277
14,2691875378,42.3530437,-71.1094648
15,2691875402,42.3531170,-71.1093227
16,2691875415,42.3531646,-71.1092342
17,2691875411,42.3531983,-71.1091269
18,2691875417,42.3532201,-71.1090410
19,2691875397,42.3532280,-71.1089525
20,2691875384,42.3532320,-71.1087916
21,2691875385,42.3532300,-71.1085556
22,2691875373,42.3532230,-71.1082873
23,2691875401,42.3532340,-71.1081935
24,2691875416,42.3532261,-71.1081192
25,2691875420,42.3531962,-71.1080166
26,2691875421,42.3531712,-71.1079739
27,2691875434,42.3531575,-71.1079391
28,2691875399,42.3531486,-71.1075798
29,2691875396,42.3531561,-71.1075205
30,2691875406,42.3531733,-71.1074603
31,2691875433,42.3531911,-71.1074088
32,2691875381,42.3532049,-71.1073686
33,2691875395,42.3532386,-71.1072961
34,2691875403,42.3532585,-71.1072318
35,2691875424,42.3532689,-71.1071470
36,2691875392,42.3532644,-71.1070601
37,2691875393,42.3532664,-71.1069609
38,2691875394,42.3532585,-71.1068697
39,2691875412,42.3532585,-71.1067463
40,2691875410,42.3532644,-71.1066470
41,2691875429,42.3532545,-71.1065290
42,2691875425,42.3532392,-71.1064150
43,2691875391,42.3532332,-71.1063128
44,1040679573,42.3532316,-71.1062149
45,2694709303,42.3532407,-71.1060940
46,2694709301,42.3532526,-71.1059652
47,2694709314,42.3532566,-71.1058016
48,2694709328,42.3532625,-71.1057292
49,2694709310,42.3532606,-71.1054046
50,2694709306,42.3532665,-71.1052464
51,2694709297,42.3532724,-71.1050855
52,2694709282,42.3532685,-71.1049808
53,2694709294,42.3532606,-71.1048736
54,2694709287,42.3532566,-71.1047555
55,2694709302,42.3532566,-71.1046804
56,2694709285,42.3532665,-71.1046161
57,2694709309,42.3533022,-71.1044820
58,2694709288,42.3533240,-71.1043773
59,2694709327,42.3533398,-71.1042593
60,2694709295,42.3533755,-71.1040769
61,2694709316,42.3534033,-71.1039482
62,2694709323,42.3534508,-71.1037765
63,2694709296,42.3534786,-71.1036880
64,2694709298,42.3534885,-71.1035941
65,2694709300,42.3535083,-71.1035164
66,2694709317,42.3535519,-71.1034252
67,2694709325,42.3535836,-71.1033527
68,2694709284,42.3536491,-71.1031248
69,2694709315,42.3537204,-71.1028887
70,2694709299,42.3537383,-71.1028190
71,2694709291,42.3537620,-71.1027680
72,2694709324,42.3537938,-71.1027063
73,2694709292,42.3538096,-71.1026420
74,2694709304,42.3538334,-71.1025642
75,2694709311,42.3538592,-71.1024837
76,2694709290,42.3539067,-71.1023201
77,2694709329,42.3539543,-71.1021967
78,2694709318,42.3540296,-71.1020090
79,2694709307,42.3541386,-71.1016844
80,2694709322,42.3541545,-71.1016147
81,2694709283,42.3541862,-71.1015235
82,2694709319,42.3542278,-71.1014189
83,2694709320,42.3542695,-71.1013009
84,2694709321,42.3542853,-71.1012150
85,2694709289,42.3543102,-71.1011366
86,2694709293,42.3543300,-71.1010722
87,2694709305,42.3543488,-71.1009844
88,2694709308,42.3543558,-71.1008818
89,2694709313,42.3543606,-71.1008046
90,2694709312,42.3543765,-71.1007376
91,2694709286,42.3543904,-71.1006705
92,2694709326,42.3543974,-71.1005545
93,1039575040,42.3544075,-71.1004727
