,Unnamed: 0,GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN,city,state,latitude,longitude,timezone,dst
0,0,8610000US01701,1701,"ZIP 01701 (Framingham, MA)",0,Total for all sectors,2012,1159,29510.0,535269,2067867,Framingham,MA,42.318695,-71.42344,-5,1
1,1,8610000US01703,1703,"ZIP 01703 (Framingham, MA)",0,Total for all sectors,2012,5,17.0,186,761,Framingham,MA,42.446396,-71.459405,-5,1
2,2,8610000US01704,1704,"ZIP 01704 (Framingham, MA)",0,Total for all sectors,2012,2,,D,D,Framingham,MA,42.446396,-71.459405,-5,1
3,3,8610000US01730,1730,"ZIP 01730 (Bedford, MA)",0,Total for all sectors,2012,528,16669.0,404519,1529332,Bedford,MA,42.496679,-71.27504,-5,1
4,4,8610000US01731,1731,"ZIP 01731 (Hanscom Afb, MA)",0,Total for all sectors,2012,33,904.0,S,72365,Hanscom AFB,MA,42.459085,-71.27556,-5,1
5,5,8610000US01741,1741,"ZIP 01741 (Carlisle, MA)",0,Total for all sectors,2012,109,542.0,8397,36835,Carlisle,MA,42.5286,-71.35084,-5,1
6,6,8610000US01742,1742,"ZIP 01742 (Concord, MA)",0,Total for all sectors,2012,778,10011.0,169590,671095,Concord,MA,42.457201,-71.37478,-5,1
7,7,8610000US01760,1760,"ZIP 01760 (Natick, MA)",0,Total for all sectors,2012,1320,20290.0,299753,1212180,Natick,MA,42.290763,-71.35368,-5,1
8,8,8610000US01770,1770,"ZIP 01770 (Sherborn, MA)",0,Total for all sectors,2012,112,470.0,4639,21781,Sherborn,MA,42.231025,-71.37202,-5,1
9,9,8610000US01773,1773,"ZIP 01773 (Lincoln, MA)",0,Total for all sectors,2012,144,1235.0,16253,71168,Lincoln,MA,42.425537,-71.30316,-5,1
10,10,8610000US01776,1776,"ZIP 01776 (Sudbury, MA)",0,Total for all sectors,2012,507,6564.0,96064,389861,Sudbury,MA,42.38532,-71.42989,-5,1
11,11,8610000US01778,1778,"ZIP 01778 (Wayland, MA)",0,Total for all sectors,2012,346,2944.0,29090,123577,Wayland,MA,42.345583,-71.35643,-5,1
12,12,8610000US01801,1801,"ZIP 01801 (Woburn, MA)",0,Total for all sectors,2012,2010,40659.0,582713,2460334,Woburn,MA,42.484545,-71.15206,-5,1
13,13,8610000US01803,1803,"ZIP 01803 (Burlington, MA)",0,Total for all sectors,2012,1441,39280.0,796321,3165262,Burlington,MA,42.506362,-71.20008,-5,1
14,14,8610000US01805,1805,"ZIP 01805 (Burlington, MA)",0,Total for all sectors,2012,9,,D,D,Burlington,MA,42.446396,-71.459405,-5,1
15,15,8610000US01815,1815,"ZIP 01815 (Woburn, MA)",0,Total for all sectors,2012,1,,D,D,Woburn,MA,42.446396,-71.459405,-5,1
16,16,8610000US01821,1821,"ZIP 01821 (Billerica, MA)",0,Total for all sectors,2012,682,14291.0,259015,1005048,Billerica,MA,42.54805,-71.25054,-5,1
17,17,8610000US01822,1822,"ZIP 01822 (Billerica, MA)",0,Total for all sectors,2012,1,,D,D,Billerica,MA,42.446396,-71.459405,-5,1
18,18,8610000US01862,1862,"ZIP 01862 (North Billerica, MA)",0,Total for all sectors,2012,379,8254.0,109262,434580,North Billerica,MA,42.573592,-71.2911,-5,1
19,19,8610000US01864,1864,"ZIP 01864 (North Reading, MA)",0,Total for all sectors,2012,477,6243.0,140018,437584,North Reading,MA,42.583436,-71.0982,-5,1
20,20,8610000US01865,1865,"ZIP 01865 (Nutting Lake, MA)",0,Total for all sectors,2012,3,6.0,28,176,Nutting Lake,MA,42.446396,-71.459405,-5,1
21,21,8610000US01866,1866,"ZIP 01866 (Pinehurst, MA)",0,Total for all sectors,2012,6,28.0,165,901,Pinehurst,MA,42.446396,-71.459405,-5,1
22,22,8610000US01867,1867,"ZIP 01867 (Reading, MA)",0,Total for all sectors,2012,513,7533.0,88239,363863,Reading,MA,42.52585,-71.10993,-5,1
23,23,8610000US01876,1876,"ZIP 01876 (Tewksbury, MA)",0,Total for all sectors,2012,710,13342.0,194173,853925,Tewksbury,MA,42.601684,-71.22071,-5,1
24,24,8610000US01880,1880,"ZIP 01880 (Wakefield, MA)",0,Total for all sectors,2012,885,12803.0,217262,807099,Wakefield,MA,42.501345,-71.07132,-5,1
25,25,8610000US01887,1887,"ZIP 01887 (Wilmington, MA)",0,Total for all sectors,2012,756,17090.0,284510,1100837,Wilmington,MA,42.558576,-71.17031,-5,1
26,26,8610000US01888,1888,"ZIP 01888 (Woburn, MA)",0,Total for all sectors,2012,13,197.0,3552,16088,Woburn,MA,42.446396,-71.459405,-5,1
27,27,8610000US01889,1889,"ZIP 01889 (North Reading, MA)",0,Total for all sectors,2012,1,,D,D,North Reading,MA,42.571633,-71.109646,-5,1
28,28,8610000US01890,1890,"ZIP 01890 (Winchester, MA)",0,Total for all sectors,2012,568,6422.0,74654,332258,Winchester,MA,42.451945,-71.14276,-5,1
29,29,8610000US01901,1901,"ZIP 01901 (Lynn, MA)",0,Total for all sectors,2012,269,6171.0,64065,247912,Lynn,MA,42.461246,-70.946743,-5,1
30,30,8610000US01902,1902,"ZIP 01902 (Lynn, MA)",0,Total for all sectors,2012,387,3610.0,28167,121651,Lynn,MA,42.469946,-70.94113,-5,1
31,31,8610000US01903,1903,"ZIP 01903 (Lynn, MA)",0,Total for all sectors,2012,8,45.0,333,1384,Lynn,MA,42.635443,-70.879123,-5,1
