,id,terminal,station,municipal,lat,lng,status,originpop,originwork,originsubway,destpop,destwork,destsubway
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,46319.4647212,74916.4548325,5983.55308644,170072.531097,329836.589738,60598.2077489
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,41625.0228964,94884.2536421,13801.1342966,293380.669614,579502.368031,100287.611125
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,51632.7322794,96836.1897065,12123.7163737,218292.833721,443672.203036,78405.9945825
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,29920.5619418,137658.563572,30573.4248378,327623.968409,658717.013677,137806.371045
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,8737.06291641,83724.5983436,4747.83672285,235849.204248,427375.597091,85539.8061488
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,30269.5815123,12293.1652621,2921.59716988,106677.219212,85137.2678304,16274.2618027
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,34518.0219404,28229.977516,4674.69449661,148091.225844,217093.41615,50200.9262646
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,42077.5947732,68713.3836691,8216.41078189,180486.454351,316114.892197,69073.3627605
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,33744.834722,45284.174958,5648.41125309,144513.954926,263720.56726,49250.4532282
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,43345.1213068,53865.3628393,14380.3603655,186019.052366,403288.644578,68052.8172224
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,34051.106513,28792.3106146,2549.95264301,192378.888823,401099.6349,65104.3475866
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,36089.5880163,48982.8982367,7472.75250985,150118.338864,294090.417161,53350.6278296
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,15952.7178637,7923.97460435,16.8372132019,99825.8073036,95694.8410948,21116.8416165
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,43342.5734474,105593.603874,33726.1003022,297121.646072,593130.188094,105203.537642
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,21759.4558633,21298.4277112,1225.26139204,134722.057944,212891.328444,57152.0219253
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,18037.661183,11477.4018128,49.6565142633,115010.231414,142779.555038,35503.4518472
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,45475.3311585,74475.3236355,9657.06287218,176267.266905,308220.057105,64624.9307425
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,17621.0009856,138481.282496,20328.3670257,287398.336543,560560.527969,119237.069355
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,44430.0265659,100382.011753,24012.8309759,268708.799813,538700.490054,95834.1330545
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,21251.1066569,136913.04224,45583.4020454,307461.577495,587165.743876,112107.505066
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,27477.1874603,162320.557113,58801.0455559,325302.413993,647401.484808,134419.267422
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,9878.39555926,84428.2025526,6442.05294875,238534.438373,428911.359275,83891.9968601
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,45350.5203564,74843.2535985,12131.1035962,252000.74969,513038.466935,86283.8741951
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,39664.4618721,65392.7065192,4872.10634762,259984.201084,513056.161178,85862.1809812
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,35645.7200688,27574.5900207,10705.2251799,144077.720021,324386.810335,56173.9109718
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,19092.4359411,14512.531228,258.504585298,125827.930299,177709.133285,46166.2701055
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,24533.8362425,25174.6268681,6940.08804268,128817.547815,253458.962549,46197.6343191
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,9149.91333467,54422.4423298,3236.91507131,197592.44962,335291.727121,63727.4601217
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,50458.9302996,88648.7953623,7661.61388509,180364.843573,333636.952027,64784.9822622
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,47594.1600238,96055.6930388,13913.7269571,217553.300247,413611.275119,83335.8966659
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,52468.4990097,99088.7840736,10705.1248632,197254.309419,369362.077001,72962.5633387
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,26747.5395154,159131.389406,67912.0691534,328454.937421,642170.357043,125162.501818
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,39860.7983367,107359.752732,33195.7430924,304777.382389,607433.744791,110563.746694
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,22576.5939311,8992.05814035,73.0441794322,89636.0777204,60939.4712572,10697.4427132
34,38,D32003,TD Garden - Legends Way,Boston,42.366231,-71.060868,Removed,24155.9698694,101929.387555,11770.7541894,288823.470053,581683.897608,131391.709891
35,39,C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,Existing,41703.1054668,53534.1008187,5627.07633475,231937.175732,473654.369634,78008.8906183
36,40,D32006,Lewis Wharf - Atlantic Ave.,Boston,42.363871,-71.050877,Existing,15867.1403876,106647.313991,8202.92438837,264326.101381,522835.403688,117720.75233
37,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,42.352261,-71.123831,Existing,34685.9198122,15881.9202265,5918.71315561,130807.702358,157611.006739,36075.7757318
38,42,D32007,Boylston St. at Arlington St.,Boston,42.352096,-71.070378,Existing,37979.3784321,127862.235204,25808.694158,331242.433563,658655.527,122356.051569
39,43,D32008,Rowes Wharf - Atlantic Ave,Boston,42.357143,-71.050699,Existing,15973.5155704,136388.455098,19399.0918121,286034.932218,548899.543334,113154.741685
40,44,D32009,Faneuil Hall - Union St. at North St.,Boston,42.360583,-71.056868,Existing,24555.5742798,156425.454566,46073.2607135,312907.158976,621152.602386,131420.605412
41,45,B32011,Yawkey Way at Boylston St.,Boston,42.344763,-71.09788,Existing,54358.7881447,103740.299209,9058.36025682,201080.451612,385012.072923,73597.9773422
42,46,B32005,Christian Science Plaza,Boston,42.343864,-71.085918,Existing,48003.4169416,99036.8257215,17324.2916753,245193.146074,495046.420397,87451.2547698
43,47,D32010,Cross St. at Hanover St.,Boston,42.362811,-71.056067,Existing,22807.8357611,137888.60034,28561.5696073,298432.267571,595114.459804,130001.171095
44,48,D32012,Post Office Square,Boston,42.356755,-71.055407,Existing,22450.3842076,160375.151224,51245.1715844,314655.498329,613493.145673,124064.180339
45,49,D32011,Stuart St. at Charles St.,Boston,42.351146,-71.066289,Existing,35961.6312238,133024.14185,32607.8290465,330560.6924,652000.547627,120203.709163
46,50,D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,Existing,39263.4220223,116896.506652,28048.131403,320651.101159,638499.891555,117252.781971
47,51,C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,Existing,38322.4197741,37263.1273936,4712.57710521,195552.938429,419158.831022,68665.6707189
48,52,B32000,Newbury St / Hereford St,Boston,42.348717,-71.085954,Existing,40338.2617603,97834.7008924,18179.9577646,266986.609818,528751.569258,98470.2972299
49,53,B32016,Beacon St / Mass Ave,Boston,42.350851,-71.089886,Existing,37177.7564579,87261.1743153,12475.291572,253645.985541,496141.339741,97224.8383685
50,54,D32014,Tremont St / West St,Boston,42.354979,-71.063348,Existing,31957.9009387,156400.028043,61735.4822979,339268.017601,671587.152806,130184.639146
51,55,B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,Existing,45049.4264171,102257.661517,17474.3820719,252555.253364,499854.130846,92630.4582175
52,56,B32017,Dudley Square,Boston,42.3281898,-71.0833545,Removed,35841.4699737,15969.4581191,4213.96214959,144299.731612,331179.594991,55850.2625515
