Unnamed: 0,latitude,longitude,nrides
0,42.29,-71.19,-18.2761073812
1,42.29,-71.1878787879,-18.1187760446
2,42.29,-71.1857575758,-17.9899247323
3,42.29,-71.1836363636,-17.8928641311
4,42.29,-71.1815151515,-17.8255530137
5,42.29,-71.1793939394,-17.8032728559
6,42.29,-71.1772727273,-17.8323726133
7,42.29,-71.1751515152,-17.9202016956
8,42.29,-71.173030303,-18.0659658989
9,42.29,-71.1709090909,-18.2540551374
10,42.29,-71.1687878788,-18.4527067236
11,42.29,-71.1666666667,-18.6258133188
12,42.29,-71.1645454545,-18.7482296468
13,42.29,-71.1624242424,-18.7920503621
14,42.29,-71.1603030303,-18.7147683191
15,42.29,-71.1581818182,-18.5098602657
16,42.29,-71.1560606061,-18.2301092701
17,42.29,-71.1539393939,-17.9116233792
18,42.29,-71.1518181818,-17.6006338282
19,42.29,-71.1496969697,-17.3784731639
20,42.29,-71.1475757576,-17.3087477509
21,42.29,-71.1454545455,-17.4267836578
22,42.29,-71.1433333333,-17.7418262988
23,42.29,-71.1412121212,-18.2156083208
24,42.29,-71.1390909091,-18.7677726639
25,42.29,-71.136969697,-19.3144012107
26,42.29,-71.1348484848,-19.7272116447
27,42.29,-71.1327272727,-19.8784563154
28,42.29,-71.1306060606,-19.697067948
29,42.29,-71.1284848485,-19.156967353
30,42.29,-71.1263636364,-18.2831791145
31,42.29,-71.1242424242,-17.1514026644
32,42.29,-71.1221212121,-15.8481585769
33,42.29,-71.12,-14.5015895052
34,42.29,-71.1178787879,-13.1925740645
35,42.29,-71.1157575758,-12.008550714
36,42.29,-71.1136363636,-11.0281475762
37,42.29,-71.1115151515,-10.2736641931
38,42.29,-71.1093939394,-9.72242090456
39,42.29,-71.1072727273,-9.33127972376
40,42.29,-71.1051515152,-9.04162465769
41,42.29,-71.103030303,-8.83700908396
42,42.29,-71.1009090909,-8.73616729581
43,42.29,-71.0987878788,-8.74742087549
44,42.29,-71.0966666667,-8.8869401681
45,42.29,-71.0945454545,-9.18479182521
46,42.29,-71.0924242424,-9.71038719814
47,42.29,-71.0903030303,-10.5053162361
48,42.29,-71.0881818182,-11.6076680858
49,42.29,-71.0860606061,-13.0307641991
50,42.29,-71.0839393939,-14.7528568226
51,42.29,-71.0818181818,-16.6799482734
52,42.29,-71.0796969697,-18.6556777316
53,42.29,-71.0775757576,-20.4345076909
