,stationname,ridesperday,latitude,longitude
0,Oak Grove Station,6590,42.4353430165,-71.071189642
1,Malden Center Station,12686,42.4273133438,-71.073871851
2,Wellington Station,7609,42.4042955853,-71.0770046711
3,Sullivan Square Station (Broadway Exit),10125,42.3857548427,-71.0770797729
4,Wonderland Station,6105,42.414246,-70.992144
5,Revere Beach Station,3197,42.4071633648,-70.992193222
6,Beachmont Station,3045,42.3974187182,-70.992193222
7,Suffolk Downs Station,1125,42.3884015915,-71.0003578663
8,Alewife Station,11221,42.3949070477,-71.1409807205
9,Davis Station,12857,42.3960638548,-71.1220550537
10,Porter Square Station,8850,42.3883461218,-71.1192440987
11,Harvard Square Station,23199,42.373939,-71.119106
12,Lechmere Station,6421,42.370582,-71.076884
13,Science Park Station,1042,42.3666775177,-71.0681641102
14,Bowdoin Station,1526,42.361457,-71.062129
15,Central Station,16525,42.3651634477,-71.103322506
16,Kendall/MIT Station,15433,42.3624602268,-71.0865855217
17,Charles/Massachusetts General Hospital Station,12065,42.3612710899,-71.0720801353
18,Community College Station,4956,42.3726383181,-71.0702776909
19,Orient Heights Station,2833,42.386676,-71.006628
20,Wood Island Station,2507,42.380797,-71.023394
21,Maverick Station,10106,42.36886,-71.039926
22,Government Center Station,10828,42.359297,-71.059895
23,Park Street Station,19653,42.3561971861,-71.0622954369
24,Haymarket Station,11469,42.362498,-71.058996
25,State Station,13258,42.358897,-71.057795
26,Downtown Crossing Station,23478,42.355295,-71.060788
27,Aquarium Station,4776,42.359456,-71.05357
28,Courthouse Station,1283,42.3520743376,-71.0453009605
29,Silver Line Way Station,870,42.3480146533,-71.0371685028
30,World Trade Center Station,1574,42.3488392978,-71.0425329208
31,Kenmore Station,9503,42.348797,-71.095296
32,Copley Station,14021,42.349962,-71.078089
33,Hynes Convention Center/ICA Station,8946,42.348097,-71.088396
34,Arlington Station,8519,42.351868,-71.070498
35,Back Bay Station,18100,42.3472772215,-71.0760390759
36,Massachusetts Avenue Station (Orange),6417,42.3415519196,-71.0832166672
37,Ruggles Station,10433,42.3356674788,-71.0905230045
38,Roxbury Crossing Station,4727,42.3315274209,-71.0954046249
39,Jackson Square Station,5828,42.3227388088,-71.1000823975
40,Chinatown Station,6498,42.352228,-71.062892
41,Tufts (formerly New England) Medical Center Station,6106,42.349873,-71.063795
42,Herald Street Station,575,42.346377,-71.064842
43,East Berkeley Street Station,1374,42.343878,-71.066039
44,Newton Street Station,1570,42.338697,-71.073795
45,Worcester Square Station,817,42.337456,-71.075812
46,Massachusetts Avenue Station (Silver),1142,42.336441,-71.077238
47,Lenox Street Station,508,42.3350488668,-71.0788178444
48,Dudley Square Station,3826,42.3288941389,-71.0851156712
49,South Station,25037,42.351709611,-71.0549998283
50,Broadway Station,5264,42.3429,-71.05713
51,Andrew Station,6425,42.32955,-71.05696
52,JFK / UMass Station,8920,42.3214378629,-71.0523927212
53,Stony Brook Station,3652,42.3192008078,-71.1028289795
54,Savin Hill Station,2440,42.311307017,-71.0532295704
55,Green Street Station,3618,42.3105691548,-71.107313633
56,Forest Hills Station,15150,42.300362,-71.113411
57,Fields Corner Station,5298,42.3002619819,-71.0607075691
58,Shawmut Station,2411,42.2927943769,-71.0657823086
59,Ashmont Station,9293,42.285924,-71.064219
60,Cedar Grove Station,91,42.278420118,-71.0597419739
61,North Quincy Station,6975,42.2748161177,-71.0291755199
62,Wollaston Station,4624,42.2656146622,-71.0194015503
63,Quincy Center Station,8655,42.250879,-71.004798
64,Quincy Adams Station,4785,42.2327515704,-71.0071492195
65,Braintree Station,5122,42.2087804241,-71.0013341904
66,Butler Station,143,42.2721169516,-71.0627675056
67,Milton Station,240,42.2703465534,-71.0679495335
68,Central Avenue Station,521,42.2700131096,-71.0732495785
69,Valley Road Station,44,42.2678933186,-71.0830664635
70,Capen Street Station,58,42.2675678013,-71.0872292519
71,Mattapan Station,1504,42.2674566487,-71.0931301117
72,Heath Street Station,820 ,42.3287592992,-71.1105966568
73,Back of the Hill Station,35,42.3300759568,-71.1113369465
74,Chestnut Hill Station,1416,42.3266732129,-71.1655175686
75,Reservoir Station,3404,42.3349378332,-71.1494028568
76,Hawes Street Station,339 ,42.3449538585,-71.1110150814
77,St. Marys Street Station,1532,42.3461353747,-71.1068093777
78,Boston University East Station,1747,42.349648,-71.103825
79,Blandford Street Station,1540,42.349297,-71.100796
80,Riverway Station,495,42.3319795095,-71.1120772362
81,Beaconsfield Station,1075,42.3359609208,-71.141602993
82,Brookline Hills Station,1225,42.3312101639,-71.1258637905
83,Riverside Station,2241,42.3371108832,-71.2517344952
84,Woodland Station,957,42.3336847265,-71.2449216843
85,Waban Station,545,42.3262607466,-71.2311780453
86,Fairbanks Station,444,42.3396090047,-71.1313462257
87,Brandon Hall Station,356,42.340072,-71.128526
88,Packards Corner Station,2654,42.3520743376,-71.1248660088
89,Babcock Street Station,1387,42.3517413265,-71.1212611198
90,Mission Park Station,548,42.333224719,-71.1070775986
91,Fenwood Road Station,221,42.3337481755,-71.1055862904
92,Brookline Village Station,3230,42.3320429602,-71.1181175709
93,Longwood Station,2719,42.3404496202,-71.1108970642
94,Brigham Circle Station,2547,42.334097,-71.104996
95,Longwood Medical Area Station,3813,42.335837,-71.100652
96,Fenway Station,3488,42.3452869056,-71.1043953896
97,Cleveland Circle Station,1457,42.335897474,-71.1507225037
98,Englewood Avenue Station,555,42.3371346753,-71.1451220512
99,Sutherland Street Station,856,42.3414964086,-71.1466240883
100,Washington Street Station,1885,42.3436850916,-71.1428689957
101,Museum of Fine Arts Station,1683,42.3377215443,-71.0954797268
102,Northeastern University Station,2650,42.3403227355,-71.0888922215
103,Symphony Station,1711,42.342697,-71.085095
104,Prudential Station,3643,42.3456358101,-71.0815858841
105,Dean Road Station,398,42.337705683,-71.1419677734
106,Tappan Street Station,674,42.3384670186,-71.138792038
107,Warren Street Station,2047,42.3484745525,-71.140294075
108,Allston Street Station,1437,42.3484428354,-71.1377835274
109,Eliot Station,814 ,42.3191928749,-71.2169194221
110,Newton Highland Station,1627,42.3216996408,-71.2061798573
111,St. Paul Street Station (B),849,42.3511308015,-71.1159074306
112,Kent Street Station,386,42.343997,-71.114596
113,Boston University West Station,704,42.350900862,-71.1140727997
114,Boston University Central Station,2194,42.3499335211,-71.1061871052
115,Boston College Station,1136,42.3399420801,-71.1661934853
116,South Street Station,214,42.3395772832,-71.1577820778
117,Washington Square Station,1091,42.339339371,-71.1354231834
118,Griggs Street / Long Avenue Station,1203,42.3487124302,-71.1341571808
119,Harvard Avenue Station,3602,42.3502348256,-71.1310243607
120,Chestnut Hill Avenue Station,626,42.338086352,-71.1533403397
121,Chiswick Road Station,615,42.3403385961,-71.1513018608
122,Summit Avenue (formerly Winchester Street) Station,945 ,42.3412822942,-71.1246192455
123,Coolidge Corner Station,3440,42.342097,-71.121396
124,Pleasant Street Station,1167,42.3513448824,-71.1182141304
125,St. Paul Street Station (C),1296,42.3432251573,-71.1173450947
