stationname,ridesperday
Oak Grove Station,6590
Malden Center Station,12686
Wellington Station,7609
Sullivan Square Station (Broadway Exit),10125
Wonderland Station,6105
Revere Beach Station,3197
Beachmont Station,3045
Suffolk Downs Station,1125
Alewife Station,11221
Davis Station,12857
Porter Square Station,8850
Harvard Square Station,23199
Lechmere Station,6421
Science Park Station,1042
Bowdoin Station,1526
Central Station,16525
Kendall/MIT Station,15433
Charles/Massachusetts General Hospital Station,12065
Community College Station,4956
Orient Heights Station,2833
Wood Island Station,2507
North Station Station,17079
# (Logan) Airport Station,7429
Maverick Station,10106
# Airport Terminals Station,2268
Government Center Station,10828
Park Street Station,19653
Haymarket Station,11469
State Station,13258
Downtown Crossing Station,23478
Aquarium Station,4776
Courthouse Station,1283
Silver Line Way Station,870
World Trade Center Station,1574
Kenmore Station,9503
Copley Station,14021
Hynes Convention Center/ICA Station,8946
Arlington Station,8519
Boylston Station,6826
Back Bay Station,18100
Massachusetts Avenue Station (Orange),6417
Ruggles Station,10433
Roxbury Crossing Station,4727
Jackson Square Station,5828
Chinatown Station,6498
Tufts (formerly New England) Medical Center Station,6106
Herald Street Station,575
East Berkeley Street Station,1374
Union Park Station,1561
Newton Street Station,1570
Worcester Square Station,817
Massachusetts Avenue Station (Silver),1142
Lenox Street Station,508
Melnea Cass Station,466
Dudley Square Station,3826
South Station,25037
Broadway Station,5264
Andrew Station,6425
JFK / UMass Station,8920
Stony Brook Station,3652
Savin Hill Station,2440
Green Street Station,3618
Forest Hills Station,15150
Fields Corner Station,5298
Shawmut Station,2411
Ashmont Station,9293
Cedar Grove Station,91
North Quincy Station,6975
Wollaston Station,4624
Quincy Center Station,8655
Quincy Adams Station,4785
Braintree Station,5122
Butler Station,143
Milton Station,240
Central Avenue Station,521
Valley Road Station,44
Capen Street Station,58
Mattapan Station,1504
Heath Street Station,820 
Back of the Hill Station,35
NewtonCentre Station,1891
Chestnut Hill Station,1416
Reservoir Station,3404
Hawes Street Station,339 
St. Marys Street Station,1532
Boston University East Station,1747
Blandford Street Station,1540
Riverway Station,495
Beaconsfield Station,1075
Brookline Hills Station,1225
Riverside Station,2241
Woodland Station,957
Waban Station,545
Fairbanks Station,444
Brandon Hall Station,356
Packards Corner Station,2654
Babcock Street Station,1387
Mission Park Station,548
Fenwood Road Station,221
Brookline Village Station,3230
Longwood Station,2719
Brigham Circle Station,2547
Longwood Medical Area Station,3813
Fenway Station,3488
Cleveland Circle Station,1457
Englewood Avenue Station,555
Sutherland Street Station,856
Washington Street Station,1885
Museum of Fine Arts Station,1683
Northeastern University Station,2650
Symphony Station,1711
Prudential Station,3643
Dean Road Station,398
Tappan Street Station,674
Warren Street Station,2047
Allston Street Station,1437
Eliot Station,814 
Newton Highland Station,1627
St. Paul Street Station (B),849
Kent Street Station,386
Boston University West Station,704
Boston University Central Station,2194
Boston College Station,1136
South Street Station,214
Washington Square Station,1091
Griggs Street / Long Avenue Station,1203
Harvard Avenue Station,3602
Chestnut Hill Avenue Station,626
Chiswick Road Station,615
Summit Avenue (formerly Winchester Street) Station,945 
Coolidge Corner Station,3440
Pleasant Street Station,1167
St. Paul Street Station (C),1296
