Unnamed: 0,latitude,longitude,nrides
0,42.29,-71.19,-19.7791514213
1,42.29,-71.1878787879,-19.7550653204
2,42.29,-71.1857575758,-19.7146142534
3,42.29,-71.1836363636,-19.649718656
4,42.29,-71.1815151515,-19.5503773271
5,42.29,-71.1793939394,-19.4056011593
6,42.29,-71.1772727273,-19.2051965288
7,42.29,-71.1751515152,-18.9423086321
8,42.29,-71.173030303,-18.6162615629
9,42.29,-71.1709090909,-18.2348518863
10,42.29,-71.1687878788,-17.8150477986
11,42.29,-71.1666666667,-17.3811970119
12,42.29,-71.1645454545,-16.9604291
13,42.29,-71.1624242424,-16.5758418077
14,42.29,-71.1603030303,-16.2389898186
15,42.29,-71.1581818182,-15.9437747584
16,42.29,-71.1560606061,-15.6637875671
17,42.29,-71.1539393939,-15.3544366204
18,42.29,-71.1518181818,-14.9600237848
19,42.29,-71.1496969697,-14.4246666545
20,42.29,-71.1475757576,-13.7049412271
21,42.29,-71.1454545455,-12.781531742
22,42.29,-71.1433333333,-11.6671027442
23,42.29,-71.1412121212,-10.4081057798
24,42.29,-71.1390909091,-9.07935648161
25,42.29,-71.136969697,-7.77191675045
26,42.29,-71.1348484848,-6.57675728036
27,42.29,-71.1327272727,-5.56819925739
28,42.29,-71.1306060606,-4.79149969029
29,42.29,-71.1284848485,-4.25777485045
30,42.29,-71.1263636364,-3.94708448225
31,42.29,-71.1242424242,-3.8179129386
32,42.29,-71.1221212121,-3.81959865274
33,42.29,-71.12,-3.90404378728
34,42.29,-71.1178787879,-4.03399705631
35,42.29,-71.1157575758,-4.18664353895
36,42.29,-71.1136363636,-4.35271559867
37,42.29,-71.1115151515,-4.53266133765
38,42.29,-71.1093939394,-4.73205149325
39,42.29,-71.1072727273,-4.95779000167
40,42.29,-71.1051515152,-5.12304427188
41,42.29,-71.103030303,-5.28529573385
42,42.29,-71.1009090909,-5.48338167849
43,42.29,-71.0987878788,-5.70524359319
44,42.29,-71.0966666667,-5.92640416703
45,42.29,-71.0945454545,-6.10890269489
46,42.29,-71.0924242424,-6.20240737837
47,42.29,-71.0903030303,-6.1489142347
48,42.29,-71.0881818182,-5.89213071622
49,42.29,-71.0860606061,-5.39133615066
50,42.29,-71.0839393939,-4.63733406608
51,42.29,-71.0818181818,-3.6657540459
52,42.29,-71.0796969697,-2.56159244776
53,42.29,-71.0775757576,-1.40583223926
54,42.29,-71.0754545455,-0.444567070142
55,42.29,-71.0733333333,0.220236637129
56,42.29,-71.0712121212,0.532087885668
57,42.29,-71.0690909091,0.467401843396
58,42.29,-71.066969697,0.0265208946674
59,42.29,-71.0648484848,-0.763807571932
60,42.29,-71.0627272727,-1.83791619138
61,42.29,-71.0606060606,-3.09169927588
62,42.29,-71.0584848485,-4.39977215874
63,42.29,-71.0563636364,-5.50921254877
64,42.29,-71.0542424242,-6.47354269625
65,42.29,-71.0521212121,-7.30283435743
66,42.29,-71.05,-8.02048169201
67,42.29,-71.0478787879,-8.64330577984
68,42.29,-71.0457575758,-9.17665144261
69,42.29,-71.0436363636,-9.61851405023
70,42.29,-71.0415151515,-9.9660362288
71,42.29,-71.0393939394,-10.2208477786
72,42.29,-71.0372727273,-10.3922266139
73,42.29,-71.0351515152,-10.4982437262
74,42.29,-71.033030303,-10.5653798803
75,42.29,-71.0309090909,-10.6269486907
76,42.29,-71.0287878788,-10.7203592273
77,42.29,-71.0266666667,-10.883127176
78,42.29,-71.0245454545,-11.1477872888
79,42.29,-71.0224242424,-11.5364107431
80,42.29,-71.0203030303,-12.0559929574
81,42.29,-71.0181818182,-12.6961685287
82,42.29,-71.0160606061,-13.430284647
83,42.29,-71.0139393939,-14.2198917659
84,42.29,-71.0118181818,-15.0215821929
85,42.29,-71.0096969697,-15.7943380224
86,42.29,-71.0075757576,-16.5054858109
87,42.29,-71.0054545455,-17.1339866181
88,42.29,-71.0033333333,-17.6707813892
89,42.29,-71.0012121212,-18.1168132135
90,42.29,-70.9990909091,-18.4798345813
91,42.29,-70.996969697,-18.7711052909
92,42.29,-70.9948484848,-19.0027408957
93,42.29,-70.9927272727,-19.1860179671
94,42.29,-70.9906060606,-19.3305748989
95,42.29,-70.9884848485,-19.4442524125
96,42.29,-70.9863636364,-19.5332840461
97,42.29,-70.9842424242,-19.6026099613
98,42.29,-70.9821212121,-19.6561802955
99,42.29,-70.98,-19.6971934123
100,42.2914141414,-71.19,-19.7822334056
101,42.2914141414,-71.1878787879,-19.7624849033
102,42.2914141414,-71.1857575758,-19.7296843069
103,42.2914141414,-71.1836363636,-19.6775152546
104,42.2914141414,-71.1815151515,-19.5981191029
105,42.2914141414,-71.1793939394,-19.4827620518
106,42.2914141414,-71.1772727273,-19.3231241185
107,42.2914141414,-71.1751515152,-19.1131454607
108,42.2914141414,-71.173030303,-18.8510894196
109,42.2914141414,-71.1709090909,-18.5412003684
110,42.2914141414,-71.1687878788,-18.1941825729
