latitude,longitude,nrides
42.29,-71.19,-19.7791514213
42.29,-71.1878787879,-19.7550653204
42.29,-71.1857575758,-19.7146142534
42.29,-71.1836363636,-19.649718656
42.29,-71.1815151515,-19.5503773271
42.29,-71.1793939394,-19.4056011593
42.29,-71.1772727273,-19.2051965288
42.29,-71.1751515152,-18.9423086321
42.29,-71.173030303,-18.6162615629
42.29,-71.1709090909,-18.2348518863
42.29,-71.1687878788,-17.8150477986
42.29,-71.1666666667,-17.3811970119
42.29,-71.1645454545,-16.9604291
42.29,-71.1624242424,-16.5758418077
42.29,-71.1603030303,-16.2389898186
42.29,-71.1581818182,-15.9437747584
42.29,-71.1560606061,-15.6637875671
42.29,-71.1539393939,-15.3544366204
42.29,-71.1518181818,-14.9600237848
42.29,-71.1496969697,-14.4246666545
42.29,-71.1475757576,-13.7049412271
42.29,-71.1454545455,-12.781531742
42.29,-71.1433333333,-11.6671027442
42.29,-71.1412121212,-10.4081057798
42.29,-71.1390909091,-9.07935648161
42.29,-71.136969697,-7.77191675045
42.29,-71.1348484848,-6.57675728036
42.29,-71.1327272727,-5.56819925739
42.29,-71.1306060606,-4.79149969029
42.29,-71.1284848485,-4.25777485045
42.29,-71.1263636364,-3.94708448225
42.29,-71.1242424242,-3.8179129386
42.29,-71.1221212121,-3.81959865274
42.29,-71.12,-3.90404378728
42.29,-71.1178787879,-4.03399705631
42.29,-71.1157575758,-4.18664353895
42.29,-71.1136363636,-4.35271559867
42.29,-71.1115151515,-4.53266133765
42.29,-71.1093939394,-4.73205149325
42.29,-71.1072727273,-4.95779000167
42.29,-71.1051515152,-5.12304427188
42.29,-71.103030303,-5.28529573385
42.29,-71.1009090909,-5.48338167849
42.29,-71.0987878788,-5.70524359319
42.29,-71.0966666667,-5.92640416703
42.29,-71.0945454545,-6.10890269489
42.29,-71.0924242424,-6.20240737837
42.29,-71.0903030303,-6.1489142347
42.29,-71.0881818182,-5.89213071622
42.29,-71.0860606061,-5.39133615066
42.29,-71.0839393939,-4.63733406608
42.29,-71.0818181818,-3.6657540459
42.29,-71.0796969697,-2.56159244776
42.29,-71.0775757576,-1.40583223926
42.29,-71.0754545455,-0.444567070142
42.29,-71.0733333333,0.220236637129
42.29,-71.0712121212,0.532087885668
42.29,-71.0690909091,0.467401843396
42.29,-71.066969697,0.0265208946674
42.29,-71.0648484848,-0.763807571932
42.29,-71.0627272727,-1.83791619138
42.29,-71.0606060606,-3.09169927588
42.29,-71.0584848485,-4.39977215874
42.29,-71.0563636364,-5.50921254877
42.29,-71.0542424242,-6.47354269625
42.29,-71.0521212121,-7.30283435743
42.29,-71.05,-8.02048169201
42.29,-71.0478787879,-8.64330577984
42.29,-71.0457575758,-9.17665144261
42.29,-71.0436363636,-9.61851405023
42.29,-71.0415151515,-9.9660362288
42.29,-71.0393939394,-10.2208477786
42.29,-71.0372727273,-10.3922266139
42.29,-71.0351515152,-10.4982437262
42.29,-71.033030303,-10.5653798803
42.29,-71.0309090909,-10.6269486907
42.29,-71.0287878788,-10.7203592273
42.29,-71.0266666667,-10.883127176
42.29,-71.0245454545,-11.1477872888
42.29,-71.0224242424,-11.5364107431
42.29,-71.0203030303,-12.0559929574
42.29,-71.0181818182,-12.6961685287
42.29,-71.0160606061,-13.430284647
42.29,-71.0139393939,-14.2198917659
42.29,-71.0118181818,-15.0215821929
42.29,-71.0096969697,-15.7943380224
42.29,-71.0075757576,-16.5054858109
42.29,-71.0054545455,-17.1339866181
42.29,-71.0033333333,-17.6707813892
42.29,-71.0012121212,-18.1168132135
42.29,-70.9990909091,-18.4798345813
42.29,-70.996969697,-18.7711052909
42.29,-70.9948484848,-19.0027408957
42.29,-70.9927272727,-19.1860179671
42.29,-70.9906060606,-19.3305748989
42.29,-70.9884848485,-19.4442524125
