,latitude,longitude,nrides
0,42.29,-71.19,-19.7848060482
1,42.29,-71.1878787879,-19.7635611915
2,42.29,-71.1857575758,-19.7272194249
3,42.29,-71.1836363636,-19.6681797245
4,42.29,-71.1815151515,-19.577053246
5,42.29,-71.1793939394,-19.4436111716
6,42.29,-71.1772727273,-19.2585747208
7,42.29,-71.1751515152,-19.0161586761
8,42.29,-71.173030303,-18.7169130167
9,42.29,-71.1709090909,-18.3700352663
10,42.29,-71.1687878788,-17.9941253504
11,42.29,-71.1666666667,-17.6154968649
12,42.29,-71.1645454545,-17.2637117896
13,42.29,-71.1624242424,-16.9648597774
14,42.29,-71.1603030303,-16.7339771906
15,42.29,-71.1581818182,-16.5685512134
16,42.29,-71.1560606061,-16.4450370915
17,42.29,-71.1539393939,-16.3197133548
18,42.29,-71.1518181818,-16.1342218356
19,42.29,-71.1496969697,-15.8251034845
20,42.29,-71.1475757576,-15.3358012433
21,42.29,-71.1454545455,-14.6290522546
22,42.29,-71.1433333333,-13.6973125563
23,42.29,-71.1412121212,-12.5688489986
24,42.29,-71.1390909091,-11.3075178512
25,42.29,-71.136969697,-10.0052175259
26,42.29,-71.1348484848,-8.76760771164
27,42.29,-71.1327272727,-7.69563623046
28,42.29,-71.1306060606,-6.86704509665
29,42.29,-71.1284848485,-6.32256150178
30,42.29,-71.1263636364,-6.06046325012
31,42.29,-71.1242424242,-6.0408614552
32,42.29,-71.1221212121,-6.19822737488
33,42.29,-71.12,-6.45840850385
34,42.29,-71.1178787879,-6.75522654511
35,42.29,-71.1157575758,-7.04198239117
36,42.29,-71.1136363636,-7.29511866862
37,42.29,-71.1115151515,-7.51066121454
38,42.29,-71.1093939394,-7.69696832486
39,42.29,-71.1072727273,-7.86745523325
40,42.29,-71.1051515152,-8.03470077107
41,42.29,-71.103030303,-8.20551758477
42,42.29,-71.1009090909,-8.3766567532
43,42.29,-71.0987878788,-8.53161372367
44,42.29,-71.0966666667,-8.63922566792
45,42.29,-71.0945454545,-8.65464063014
46,42.29,-71.0924242424,-8.52333922788
47,42.29,-71.0903030303,-8.18895448642
48,42.29,-71.0881818182,-7.6050643752
49,42.29,-71.0860606061,-6.74971205531
50,42.29,-71.0839393939,-5.63950692538
51,42.29,-71.0818181818,-4.33854857558
52,42.29,-71.0796969697,-2.95705312315
53,42.29,-71.0775757576,-1.63647337419
54,42.29,-71.0754545455,-0.522970306034
55,42.29,-71.0733333333,0.261439516542
56,42.29,-71.0712121212,0.636262610399
57,42.29,-71.0690909091,0.561848098332
58,42.29,-71.066969697,0.0319744393636
59,42.29,-71.0648484848,-0.921386499196
60,42.29,-71.0627272727,-2.2129583989
61,42.29,-71.0606060606,-3.70693698394
62,42.29,-71.0584848485,-5.25542661045
63,42.29,-71.0563636364,-6.74938845426
64,42.29,-71.0542424242,-8.14215993796
65,42.29,-71.0521212121,-9.43377054564
66,42.29,-71.05,-10.6379459432
67,42.29,-71.0478787879,-11.7574992422
68,42.29,-71.0457575758,-12.7769126387
69,42.29,-71.0436363636,-13.6674755946
70,42.29,-71.0415151515,-14.3976812492
71,42.29,-71.0393939394,-14.9439077634
72,42.29,-71.0372727273,-15.2987173181
73,42.29,-71.0351515152,-15.475451517
74,42.29,-71.033030303,-15.5086229997
