,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,9854.77658738,18047.9836956,5983.55308644,50282.1384029,97594.5945698,60598.2077489,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,12057.8287771,24356.3428094,13801.1342966,84761.6804738,139484.060455,100287.611125,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,24256.2817751,49924.0130576,12123.7163737,64773.9439079,121198.438831,78405.9945825,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,13943.5456835,57091.8502139,30573.4248378,91527.8189425,165733.064011,137806.371045,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,959.869916204,16306.015985,4747.83672285,68367.8347267,104623.966308,85539.8061488,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,9740.63164596,4398.45945886,2921.59716988,40989.8010944,26037.5176576,16274.2618027,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,3481.89440789,1227.64712022,4674.69449661,48280.2524828,63320.2644666,50200.9262646,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,13783.0250948,27442.6747874,8216.41078189,55502.3151518,90060.4317939,69073.3627605,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,1896.0864526,3022.53688135,5648.41125309,42918.4756387,81070.0253026,49250.4532282,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,5293.13174149,6262.77904853,14380.3603655,53330.3103741,111213.989219,68052.8172224,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,11249.4489434,6827.37226484,2549.95264301,55087.5200483,99074.3878081,65104.3475866,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,4019.04270554,3628.18989021,7472.75250985,43615.4436022,89136.6443142,53350.6278296,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,1813.81130959,820.094484317,16.8372132019,36268.8729877,26482.710948,21116.8416165,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,16927.7033478,47479.2182681,33726.1003022,86827.4551315,146840.439793,105203.537642,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,2144.64538069,588.074513617,1225.26139204,41688.1394919,55998.0695551,57152.0219253,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,1718.62064636,715.947113204,49.6565142633,39362.1615797,38432.8474523,35503.4518472,11.7153110048
