,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,326.19341353,527.580667834,47.4885165591,8.66785180111,16.2179237504,3.96856563561,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,293.133964059,668.19896931,109.532811878,9.06788845769,21.4962167953,5.35071599885,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,363.6107907,681.944997933,96.2199712197,9.33710365523,18.758030548,4.57516486686,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,210.708182689,969.426504029,242.646228872,8.27761155337,19.9855912393,4.91350858429,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,61.5286120874,589.60984749,37.6812438322,6.61074689876,17.8425064428,4.64416194368,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,213.166066988,86.5715863525,23.187279126,5.92799672357,9.06413074041,2.1934395058,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,243.084661552,198.802658564,37.1007499731,8.50237300086,14.5990736065,3.47027190114,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,296.321089952,483.897068092,65.2096093801,9.14246050064,16.7369799481,4.08080293446,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,237.639681141,318.902640549,44.8286607388,8.28960370354,14.9240910965,3.57415663039,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,305.247333146,379.333541122,114.129844171,9.04398960038,18.0859688881,4.31624988928,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,239.79652474,202.762750807,20.2377193889,8.36453109499,18.2945335538,4.52449271147,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,254.152028284,344.949987583,59.307559602,8.42170022538,15.4564547018,3.69992138888,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,112.343083548,55.8026380588,0.133628676206,5.92631641566,8.81373681728,2.20151841542,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,305.229390475,743.616928692,267.667462716,9.21827289655,20.9042672518,5.088691568,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,153.235604671,149.988927544,9.72429676225,7.72262020645,12.6904220509,3.10113969307,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,127.025782979,80.8267733299,0.39409931955,6.88310383694,10.6260680361,2.64918143675,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,320.248810976,524.474110109,76.6433561285,8.87732969428,16.2274093905,3.98314508499,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,124.091556237,975.220299267,161.336246236,6.93606187363,17.2653927945,4.26347574965,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,312.887511027,706.915575725,190.578023618,9.31390883726,19.9990693299,4.84176493378,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,149.655680682,964.176353803,361.773032107,7.73526293901,18.7469075202,4.33698998952,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,193.501320143,1143.10251488,466.674964729,7.60703765953,17.8296482692,4.12032421846,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,69.5661659103,594.564806709,51.1274043551,6.73754490112,17.9820358982,4.68144318813,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,319.369861665,527.065166186,96.2785999697,9.03629398927,20.2247647134,5.00261668646,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,279.327196282,460.512017741,38.6675106954,8.90029313169,20.9905750382,5.28983118316,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,251.026197668,194.187253667,84.9621046023,8.41483801889,15.829884297,3.70224993493,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,134.453774233,102.200924141,2.05162369284,7.38137468701,11.75892952,2.90635434039,8.98783454988
26,30.0,720.0,7556.0,412.0,42.334073,-71.105221,172.773494666,177.286104705,55.0800638308,8.09542773198,14.4707160902,3.39493091222,18.3398058252
27,31.0,570.0,9565.0,412.0,42.348833,-71.041747,64.4360093991,383.256636125,25.6898021533,6.29591365901,17.2249053248,4.4845449891,23.2160194175
28,32.0,589.25,14902.0,446.0,42.343912,-71.102221,355.344579575,624.287291284,60.8064594055,8.69030489521,16.2181591689,4.04699681279,33.4125560538
29,33.0,660.0,21647.0,433.0,42.349046,-71.096831,335.170141013,676.448542527,110.426404422,9.50048435614,18.5587779818,4.60075670201,49.9930715935
30,34.0,589.75,3886.0,280.0,42.346171,-71.099855,369.496471899,697.808338546,84.9613084382,8.94835783528,17.0319165861,4.27676332795,13.8785714286
31,35.0,478.5,8059.0,227.0,42.354594,-71.05896,188.362954334,1120.64358736,538.984675821,7.8511332934,18.2666546137,4.0073776173,35.5022026432
32,36.0,660.0,29532.0,423.0,42.349673,-71.077303,280.709847441,756.054596703,263.458278511,9.33062847769,21.0419292793,5.1042573228,69.8156028369
33,37.0,1229.5,808.0,207.0,42.357247,-71.146452,158.990098107,63.3243531011,0.57971570978,4.85962643547,7.01019599929,1.73825112385,3.90338164251
34,38.0,643.0,17692.0,231.0,42.366231,-71.060868,170.112463869,717.812588416,93.4186840425,7.47319803955,18.9605004502,4.86910675039,76.5887445887
35,39.0,540.0,16519.0,434.0,42.338623,-71.074182,293.683841315,377.000709991,44.6593359901,8.79300950312,19.8458135253,4.95453371248,38.0622119816
