,latitude,longitude,nrides
0,42.29,-71.19,-19.5409710076
1,42.29,-71.1878787879,-19.5219592811
2,42.29,-71.1857575758,-19.5035407924
3,42.29,-71.1836363636,-19.4870756039
4,42.29,-71.1815151515,-19.4690394075
5,42.29,-71.1793939394,-19.447942327
6,42.29,-71.1772727273,-19.4270090968
7,42.29,-71.1751515152,-19.4059432061
8,42.29,-71.173030303,-19.381040811
9,42.29,-71.1709090909,-19.3557499879
10,42.29,-71.1687878788,-19.3299924975
11,42.29,-71.1666666667,-19.3036300594
12,42.29,-71.1645454545,-19.2772299477
13,42.29,-71.1624242424,-19.2474317285
14,42.29,-71.1603030303,-19.2176791019
15,42.29,-71.1581818182,-19.1867430749
16,42.29,-71.1560606061,-19.1539926064
17,42.29,-71.1539393939,-19.1167869725
18,42.29,-71.1518181818,-19.0792417792
19,42.29,-71.1496969697,-19.0410957692
20,42.29,-71.1475757576,-19.0042298236
21,42.29,-71.1454545455,-18.9680207581
22,42.29,-71.1433333333,-18.931654099
23,42.29,-71.1412121212,-18.8954394438
24,42.29,-71.1390909091,-18.8576149094
25,42.29,-71.136969697,-18.818361117
26,42.29,-71.1348484848,-18.7815911668
27,42.29,-71.1327272727,-18.7413989493
28,42.29,-71.1306060606,-18.7059363526
29,42.29,-71.1284848485,-18.6756652063
30,42.29,-71.1263636364,-18.64990183
31,42.29,-71.1242424242,-18.6298403321
32,42.29,-71.1221212121,-18.6152719282
33,42.29,-71.12,-18.6059606957
34,42.29,-71.1178787879,-18.6015869055
35,42.29,-71.1157575758,-18.6019219054
36,42.29,-71.1136363636,-18.6068561856
37,42.29,-71.1115151515,-18.616272263
38,42.29,-71.1093939394,-18.6300624624
39,42.29,-71.1072727273,-18.6480829194
40,42.29,-71.1051515152,-18.6566265343
41,42.29,-71.103030303,-18.6636747162
42,42.29,-71.1009090909,-18.6751321087
43,42.29,-71.0987878788,-18.6907786386
44,42.29,-71.0966666667,-18.7096623602
45,42.29,-71.0945454545,-18.7312965784
46,42.29,-71.0924242424,-18.7554903968
47,42.29,-71.0903030303,-18.7815475651
48,42.29,-71.0881818182,-18.8022977816
49,42.29,-71.0860606061,-18.8235162643
50,42.29,-71.0839393939,-18.8432821954
51,42.29,-71.0818181818,-18.8603108284
52,42.29,-71.0796969697,-18.8783602037
53,42.29,-71.0775757576,-18.8575887918
54,42.29,-71.0754545455,-18.836500504
55,42.29,-71.0733333333,-18.8200904421
56,42.29,-71.0712121212,-18.8089383397
57,42.29,-71.0690909091,-18.8033506697
58,42.29,-71.066969697,-18.8034285313
59,42.29,-71.0648484848,-18.8089705794
60,42.29,-71.0627272727,-18.8194101235
61,42.29,-71.0606060606,-18.8337797637
62,42.29,-71.0584848485,-18.8482062746
63,42.29,-71.0563636364,-18.8331564229
64,42.29,-71.0542424242,-18.8151282532
65,42.29,-71.0521212121,-18.7980287537
66,42.29,-71.05,-18.7826997949
67,42.29,-71.0478787879,-18.7652274992
68,42.29,-71.0457575758,-18.7497279902
69,42.29,-71.0436363636,-18.7372286452
70,42.29,-71.0415151515,-18.7277578854
71,42.29,-71.0393939394,-18.7214022673
72,42.29,-71.0372727273,-18.7182640685
73,42.29,-71.0351515152,-18.7185089311
74,42.29,-71.033030303,-18.7223732932
75,42.29,-71.0309090909,-18.7301796154
76,42.29,-71.0287878788,-18.7422565867
77,42.29,-71.0266666667,-18.7588326469
78,42.29,-71.0245454545,-18.7800207556
79,42.29,-71.0224242424,-18.8057778423
80,42.29,-71.0203030303,-18.832098253
81,42.29,-71.0181818182,-18.8602024812
82,42.29,-71.0160606061,-18.8912369136
83,42.29,-71.0139393939,-18.9217308994
84,42.29,-71.0118181818,-18.952253822
85,42.29,-71.0096969697,-18.9839534304
86,42.29,-71.0075757576,-19.0165139392
87,42.29,-71.0054545455,-19.0497127697
88,42.29,-71.0033333333,-19.0854265459
89,42.29,-71.0012121212,-19.1217901394
90,42.29,-70.9990909091,-19.1573902497
91,42.29,-70.996969697,-19.1932545262
92,42.29,-70.9948484848,-19.2227780295
93,42.29,-70.9927272727,-19.2518790708
94,42.29,-70.9906060606,-19.2789537206
95,42.29,-70.9884848485,-19.3055142366
96,42.29,-70.9863636364,-19.3287080112
97,42.29,-70.9842424242,-19.3516197965
98,42.29,-70.9821212121,-19.37393914
99,42.29,-70.98,-19.3960304969
100,42.2914141414,-71.19,-19.5345819408
101,42.2914141414,-71.1878787879,-19.5159443378
102,42.2914141414,-71.1857575758,-19.4980426036
103,42.2914141414,-71.1836363636,-19.4815451213
104,42.2914141414,-71.1815151515,-19.4619827305
105,42.2914141414,-71.1793939394,-19.4408781849
106,42.2914141414,-71.1772727273,-19.4202204217
107,42.2914141414,-71.1751515152,-19.397911788
108,42.2914141414,-71.173030303,-19.3731898784
109,42.2914141414,-71.1709090909,-19.3478434048
110,42.2914141414,-71.1687878788,-19.3222331566
111,42.2914141414,-71.1666666667,-19.2955337839
112,42.2914141414,-71.1645454545,-19.267535594
113,42.2914141414,-71.1624242424,-19.2370627717
114,42.2914141414,-71.1603030303,-19.2056621126
115,42.2914141414,-71.1581818182,-19.1740930655
116,42.2914141414,-71.1560606061,-19.1360132173
117,42.2914141414,-71.1539393939,-19.0974516527
118,42.2914141414,-71.1518181818,-19.0578394446
119,42.2914141414,-71.1496969697,-19.0190272579
120,42.2914141414,-71.1475757576,-18.9819583374
121,42.2914141414,-71.1454545455,-18.9447568633
122,42.2914141414,-71.1433333333,-18.9075749164
123,42.2914141414,-71.1412121212,-18.8687478174
124,42.2914141414,-71.1390909091,-18.8268969107
125,42.2914141414,-71.136969697,-18.7856792517
126,42.2914141414,-71.1348484848,-18.7401089198
127,42.2914141414,-71.1327272727,-18.6982848111
128,42.2914141414,-71.1306060606,-18.6600280579
129,42.2914141414,-71.1284848485,-18.6263782057
130,42.2914141414,-71.1263636364,-18.5982285339
131,42.2914141414,-71.1242424242,-18.5758288166
132,42.2914141414,-71.1221212121,-18.559246521
133,42.2914141414,-71.12,-18.5480367718
134,42.2914141414,-71.1178787879,-18.5420580283
135,42.2914141414,-71.1157575758,-18.5412602563
136,42.2914141414,-71.1136363636,-18.5455902709
137,42.2914141414,-71.1115151515,-18.5549584842
138,42.2914141414,-71.1093939394,-18.5692042587
139,42.2914141414,-71.1072727273,-18.588082888
140,42.2914141414,-71.1051515152,-18.593753907
141,42.2914141414,-71.103030303,-18.6014007191
142,42.2914141414,-71.1009090909,-18.6138672589
143,42.2914141414,-71.0987878788,-18.6307736347
144,42.2914141414,-71.0966666667,-18.6517094685
145,42.2914141414,-71.0945454545,-18.6761263029
146,42.2914141414,-71.0924242424,-18.7026597404
147,42.2914141414,-71.0903030303,-18.7306736451
148,42.2914141414,-71.0881818182,-18.7602244321
149,42.2914141414,-71.0860606061,-18.785545631
150,42.2914141414,-71.0839393939,-18.8092435611
