,start_day,seq_id,hubway_id,duration,strt_statn,end_statn,birth_date,riderateBoston
0,2011-07-28,90100,105034,866332,12776.0,13034.0,446298.0,424.0
1,2011-07-29,371180,413017,1299681,16445.0,16432.0,384902.0,536.0
2,2011-07-30,1088400,1207726,3415695,24625.0,24823.0,203583.0,800.0
3,2011-07-31,2279848,2516194,4731046,31787.0,31865.0,203555.0,1007.0
4,2011-08-01,2491262,2744640,2416795,24020.0,23898.0,491515.0,788.0
5,2011-08-02,2568646,2821393,1430530,20009.0,19826.0,601842.0,661.0
6,2011-08-03,4251065,4655334,2678996,28870.0,29358.0,623377.0,910.0
7,2011-08-04,6669864,7277744,3104575,37464.0,37879.0,811292.0,1168.0
8,2011-08-05,11461821,12533920,5806477,52831.0,53422.0,1150822.0,1614.0
9,2011-08-06,14133499,15498355,17605251,55227.0,55026.0,577291.0,1621.0
10,2011-08-07,5624568,6170778,2344077,19030.0,19171.0,253333.0,573.0
11,2011-08-08,9993375,10963138,3387434,30365.0,30078.0,845163.0,945.0
12,2011-08-09,11198543,12296563,2173625,30025.0,30992.0,1057690.0,971.0
13,2011-08-10,13301410,14603829,2102387,34812.0,34631.0,1102166.0,1060.0
14,2011-08-11,19666679,21577348,4189929,45528.0,45346.0,1368250.0,1426.0
15,2011-08-12,22657785,24885228,14609743,48664.0,48084.0,1248366.0,1486.0
16,2011-08-13,29372733,32336732,7009495,59762.0,59634.0,780881.0,1742.0
17,2011-08-14,19696677,21734522,2903734,37206.0,36011.0,504441.0,1078.0
18,2011-08-15,2756991,3041601,227562,4285.0,4401.0,203493.0,146.0
19,2011-08-16,19855830,21936147,2613401,32500.0,32692.0,1096425.0,1020.0
20,2011-08-17,30982380,34271569,3802179,47657.0,47329.0,1463489.0,1495.0
21,2011-08-18,32712384,36164255,3436737,46943.0,47177.0,1443720.0,1473.0
22,2011-08-19,26180674,28945537,3122083,35776.0,36083.0,1036840.0,1114.0
23,2011-08-20,40569491,44926377,5559846,54331.0,53451.0,710166.0,1631.0
24,2011-08-21,38165340,42429199,15765502,48292.0,48636.0,623191.0,1445.0
25,2011-08-22,38568915,42960746,24823205,45846.0,45609.0,1409834.0,1386.0
26,2011-08-23,45738861,50882107,4115409,50191.0,50351.0,1718776.0,1561.0
27,2011-08-24,48143940,53437845,3659773,51720.0,51561.0,1691635.0,1560.0
28,2011-08-25,37147354,41166545,2715609,38746.0,37447.0,1357950.0,1153.0
29,2011-08-26,50111001,55481864,5679313,50258.0,50966.0,1438358.0,1494.0
30,2011-08-27,22988012,25445847,2563504,23816.0,22742.0,498691.0,664.0
31,2011-08-28,1398911,1548444,28886,1487.0,1294.0,73296.0,40.0
32,2011-08-29,52264201,57820413,12401494,48113.0,48121.0,1691844.0,1463.0
33,2011-08-30,55694388,61565825,2834854,48183.0,48605.0,1891277.0,1497.0
34,2011-08-31,55491450,61297813,3898247,47126.0,46773.0,1811963.0,1435.0
35,2011-09-02,56775228,65448563,3764784,46864.0,47034.0,1387204.0,1416.0
36,2011-09-03,61399815,70702275,4923618,48694.0,48423.0,654665.0,1478.0
37,2011-09-04,69149820,79585479,6353996,55985.0,55600.0,605534.0,1605.0
38,2011-09-05,72726900,83654860,5112210,53509.0,53391.0,725754.0,1627.0
39,2011-09-06,24999429,28741495,1273598,17284.0,17749.0,651872.0,546.0
40,2011-09-07,17296191,19876006,323311,11831.0,11555.0,590516.0,374.0
41,2011-09-08,31900209,36639997,1035141,22242.0,22761.0,930188.0,682.0
42,2011-09-09,68640355,78746987,3240609,47199.0,46200.0,1682094.0,1435.0
43,2011-09-10,83277441,95427283,12812083,57254.0,57690.0,927084.0,1686.0
44,2011-09-11,91993664,105365584,4912463,60908.0,60026.0,955734.0,1799.0
45,2011-09-12,76074873,87042717,2314780,45591.0,45816.0,1859449.0,1442.0
46,2011-09-13,82056042,93808528,10880278,49070.0,49274.0,1840279.0,1513.0
47,2011-09-14,79940980,91315417,2031750,46786.0,46834.0,1915539.0,1435.0
48,2011-09-15,76912354,87754847,1239565,43526.0,43376.0,1891505.0,1347.0
49,2011-09-16,95319421,108595076,3021868,51763.0,51668.0,2020450.0,1627.0
50,2011-09-17,88033082,100228372,6285489,50366.0,49179.0,927899.0,1464.0
51,2011-09-18,81521384,92774155,3359278,44023.0,44266.0,884307.0,1325.0
52,2011-09-19,92561204,105320941,8930189,48120.0,48274.0,1881469.0,1471.0
53,2011-09-20,73027236,83025546,1796984,36964.0,36242.0,1710430.0,1137.0
54,2011-09-21,105817639,120216187,3839025,51741.0,51771.0,2195627.0,1613.0
55,2011-09-22,77572683,88056879,2761490,36872.0,37243.0,1698893.0,1158.0
56,2011-09-23,65668250,74490350,3104247,31670.0,30712.0,1368230.0,965.0
57,2011-09-24,87912528,99694115,3845255,44557.0,45081.0,1046235.0,1271.0
58,2011-09-25,97992915,111172181,3608612,48484.0,49295.0,986588.0,1390.0
59,2011-09-26,114025032,129355801,3261095,52303.0,52352.0,2117035.0,1584.0
60,2011-09-27,124124163,140745511,3930263,55645.0,56137.0,2258845.0,1686.0
61,2011-09-28,122780049,139187757,2639005,53612.0,53813.0,2405517.0,1631.0
62,2011-09-29,72586938,82277958,1135576,31945.0,31173.0,1481908.0,948.0
63,2011-09-30,134779975,152749117,15361800,59212.0,59112.0,2163308.0,1730.0
64,2011-10-01,83501847,94623353,14373499,38173.0,37247.0,881141.0,1053.0
65,2011-10-02,82427301,93412878,2409807,35892.0,36007.0,948093.0,1026.0
66,2011-10-03,102091934,115675286,1917049,42256.0,42435.0,1757604.0,1253.0
67,2011-10-04,83435595,94512095,1415410,33566.0,33462.0,1582135.0,1010.0
68,2011-10-05,110076561,124659600,1732266,43249.0,43261.0,2084767.0,1314.0
69,2011-10-06,108801162,123163025,1544836,42761.0,42791.0,2059230.0,1279.0
70,2011-10-07,140071023,158461734,2576831,54306.0,55371.0,2196907.0,1619.0
71,2011-10-08,165316599,186980670,6263906,67207.0,68072.0,1131289.0,1873.0
72,2011-10-09,191898075,217080852,12894838,77302.0,76487.0,1081766.0,2126.0
73,2011-10-10,167123478,189071278,4313964,63865.0,64266.0,1585274.0,1812.0
74,2011-10-11,152668750,172641458,2216027,54207.0,53731.0,2411464.0,1625.0
75,2011-10-12,133070543,150363073,1718602,46148.0,45606.0,2231207.0,1394.0
76,2011-10-13,58454457,66034287,1070370,19708.0,19783.0,992212.0,606.0
77,2011-10-14,75778950,85594469,1535357,26553.0,26716.0,1175213.0,780.0
78,2011-10-15,139320627,157368908,4015919,50944.0,51170.0,1102338.0,1418.0
79,2011-10-16,137618031,155476314,4062807,48985.0,48360.0,1137874.0,1381.0
80,2011-10-17,144103717,162774847,1536843,47887.0,47828.0,2173958.0,1426.0
81,2011-10-18,149543123,168828220,1974414,48416.0,49158.0,2261856.0,1459.0
82,2011-10-19,45516460,51375673,488172,14807.0,14372.0,740537.0,440.0
83,2011-10-20,131203739,148063736,1277298,43145.0,43541.0,1953735.0,1258.0
84,2011-10-21,172035726,194054470,2866008,56165.0,55848.0,2178173.0,1627.0
85,2011-10-22,160736149,181300142,4774801,52024.0,51565.0,1214525.0,1498.0
86,2011-10-23,130925660,147678406,4801561,41741.0,41516.0,1003232.0,1205.0
87,2011-10-24,141438726,159481895,5945681,43672.0,43625.0,1985533.0,1287.0
88,2011-10-25,143766084,162034564,1554590,43377.0,43559.0,2091475.0,1293.0
89,2011-10-26,95758633,107901445,695560,28844.0,28786.0,1444290.0,853.0
90,2011-10-27,23912222,26942999,147665,7664.0,7286.0,365772.0,212.0
91,2011-10-28,112146666,126354675,1116579,34297.0,33406.0,1604320.0,989.0
92,2011-10-29,35467684,39959882,610978,10896.0,11137.0,328389.0,311.0
93,2011-10-30,24804836,27946985,546200,7385.0,7629.0,294899.0,217.0
94,2011-10-31,111108300,125170770,1543085,33078.0,33343.0,1591454.0,967.0
95,2011-11-01,127759819,143909741,1150432,37920.0,37935.0,1760027.0,1102.0
96,2011-11-02,129209400,145502140,1070016,36927.0,37461.0,1772713.0,1104.0
97,2011-11-03,138620448,156066837,1137259,40361.0,40206.0,1866204.0,1173.0
98,2011-11-04,132802047,149468504,3381304,38304.0,38394.0,1714773.0,1113.0
99,2011-11-05,97065153,109227082,4908817,29438.0,29619.0,727867.0,807.0
100,2011-11-06,105372225,118555072,3031986,31645.0,31970.0,696482.0,870.0
101,2011-11-07,152476272,171523144,1914432,43104.0,43617.0,1889892.0,1248.0
102,2011-11-08,167436846,188321018,4101203,46986.0,47168.0,2075844.0,1356.0
103,2011-11-09,177436007,199530841,1529700,49028.0,49245.0,2255532.0,1421.0
104,2011-11-10,81710398,91870737,825970,22473.0,22098.0,1054938.0,649.0
105,2011-11-11,119094710,133900447,1373137,32224.0,32867.0,1478560.0,940.0
106,2011-11-12,115623267,130029642,2004476,33288.0,33301.0,763523.0,906.0
107,2011-11-13,113993692,128252030,3804456,31716.0,31916.0,765824.0,887.0
108,2011-11-14,147793730,166396445,1684455,38947.0,38930.0,1877712.0,1141.0
109,2011-11-15,166165456,187081856,1199720,43732.0,43571.0,2065592.0,1271.0
110,2011-11-16,86262845,97085462,552433,22659.0,22735.0,1079814.0,655.0
111,2011-11-17,97840644,110080939,473705,25912.0,24973.0,1265857.0,739.0
112,2011-11-18,119359296,134244339,541048,30979.0,30673.0,1514587.0,896.0
113,2011-11-19,91121020,102461828,1091431,23753.0,24280.0,755885.0,680.0
114,2011-11-20,134570819,151279521,1882988,37208.0,37150.0,872826.0,998.0
115,2011-11-21,120711976,135655245,1307355,31649.0,30931.0,1450823.0,889.0
116,2011-11-22,110810174,124478558,1341127,27692.0,26752.0,1368958.0,811.0
117,2011-11-23,28388601,31882037,137320,6952.0,6561.0,343410.0,207.0
118,2011-11-24,32418022,36406275,441611,8877.0,9202.0,126194.0,236.0
119,2011-11-25,68176350,76556949,1096728,17548.0,17772.0,375083.0,495.0
120,2011-11-26,80195150,90041328,1316391,21249.0,21787.0,404851.0,580.0
121,2011-11-27,62035107,69636764,1799301,15149.0,15759.0,379195.0,447.0
122,2011-11-28,85118410,95530116,588757,19316.0,18928.0,1038059.0,611.0
123,2011-11-29,76098800,85394415,502898,16139.0,16256.0,924967.0,544.0
124,2011-11-30,50803261,56996108,345141,10980.0,10898.0,627376.0,362.0
125,2012-03-13,140522,157655,189,29.0,18.0,1988.0,1.0
126,2012-03-15,48962382,54945095,679850,10835.0,11167.0,620355.0,348.0
127,2012-03-16,40047550,44957742,200760,8856.0,9108.0,477924.0,284.0
128,2012-03-17,70135640,78752528,918633,16645.0,17148.0,484435.0,496.0
129,2012-03-18,151853046,170613710,2727734,37616.0,37088.0,702074.0,1068.0
130,2012-03-19,97136382,109197819,992114,21263.0,21012.0,1005081.0,679.0
131,2012-03-20,124557213,140103661,1075043,27777.0,27315.0,1275775.0,866.0
132,2012-03-21,164528584,185233888,1292261,37352.0,37120.0,1740154.0,1136.0
133,2012-03-22,200282535,225726584,1693557,45279.0,45350.0,1796372.0,1371.0
134,2012-03-23,231963784,261689509,2670440,52535.0,53276.0,2048397.0,1572.0
135,2012-03-24,157359136,177585539,2457145,37125.0,35217.0,1017353.0,1057.0
136,2012-03-25,72572975,81937650,849057,17626.0,17963.0,689119.0,485.0
137,2012-03-26,114950445,129806594,501282,25115.0,24670.0,1377266.0,765.0
138,2012-03-27,120233560,135825001,480126,26703.0,26488.0,1399814.0,796.0
139,2012-03-28,127567020,144193425,632196,27412.0,27509.0,1406887.0,840.0
140,2012-03-29,140679066,159085369,1894241,31485.0,30772.0,1632288.0,921.0
141,2012-03-30,171909829,194468508,1146263,38113.0,38617.0,1831148.0,1118.0
142,2012-03-31,99437378,112514115,4399981,22832.0,22077.0,809981.0,643.0
143,2012-04-01,120867357,136820447,1270712,28264.0,28226.0,925787.0,778.0
144,2012-04-02,156558993,177296465,900938,34002.0,34248.0,1736710.0,1002.0
145,2012-04-03,212520375,240753697,1414737,45522.0,45161.0,2230725.0,1350.0
146,2012-04-04,226782822,257000015,1067905,48950.0,48946.0,2352908.0,1428.0
147,2012-04-05,217235946,246352308,1357695,47648.0,46527.0,2308449.0,1356.0
148,2012-04-06,230596065,261670170,3077868,50175.0,50701.0,2098672.0,1427.0
149,2012-04-07,164278317,186450908,2071136,38895.0,36865.0,1094020.0,1009.0
150,2012-04-08,137211187,155754160,1022960,29836.0,30009.0,902295.0,838.0
151,2012-04-09,203163876,230626935,3864101,42861.0,42616.0,2051072.0,1233.0
152,2012-04-10,253213362,287561235,1148259,52845.0,52192.0,2578763.0,1524.0
153,2012-04-11,244758050,278094202,1114740,49402.0,50302.0,2528722.0,1460.0
154,2012-04-12,156341673,177656096,565404,31987.0,30918.0,1657724.0,926.0
155,2012-04-13,290962485,330710307,5253985,58238.0,57784.0,2581772.0,1710.0
156,2012-04-14,395617935,450195914,3854965,84261.0,84311.0,1908717.0,2298.0
157,2012-04-15,391242994,445668418,4358920,82276.0,81959.0,1645101.0,2243.0
158,2012-04-16,358424945,408604842,3844014,70766.0,70734.0,2223302.0,2030.0
159,2012-04-17,353208493,403002024,2758337,70314.0,69940.0,2780180.0,1978.0
160,2012-04-18,295275512,337034024,2447597,55187.0,55033.0,2694853.0,1637.0
161,2012-04-19,359626281,410464524,2082629,68973.0,68751.0,2941724.0,1974.0
162,2012-04-20,373522110,426509538,2243720,72458.0,71353.0,2892537.0,2028.0
163,2012-04-21,404043489,461552197,3743794,80532.0,78938.0,1872655.0,2169.0
164,2012-04-22,96062208,109762353,840114,18842.0,18808.0,590029.0,512.0
165,2012-04-23,133079317,152085152,451202,24827.0,24487.0,1227709.0,707.0
166,2012-04-24,293317091,335228785,1058564,55568.0,55759.0,2626687.0,1549.0
167,2012-04-25,310670769,355082643,1503108,57160.0,57220.0,2638178.0,1627.0
168,2012-04-26,316218823,361332031,1230514,59102.0,57691.0,2640178.0,1642.0
169,2012-04-27,282264293,322503726,1814685,50070.0,50279.0,2317134.0,1454.0
170,2012-04-28,268676769,306983717,1874722,49907.0,49691.0,1541080.0,1374.0
171,2012-04-29,300216570,343070336,2139526,56200.0,56825.0,1434251.0,1524.0
172,2012-04-30,338226018,386527649,1402189,60577.0,59131.0,2741667.0,1703.0
173,2012-05-01,101253477,115707912,797632,17911.0,17909.0,889292.0,507.0
174,2012-05-02,306914641,350774683,1266331,53448.0,53933.0,2521252.0,1529.0
175,2012-05-03,245350007,280433070,1036577,42123.0,42331.0,2031505.0,1214.0
176,2012-05-04,301510677,344633323,1281822,53353.0,53158.0,2347585.0,1482.0
177,2012-05-05,287050890,328165456,1769668,52067.0,51551.0,1575042.0,1401.0
178,2012-05-06,261699525,299223664,1988930,48111.0,48191.0,1492650.0,1269.0
179,2012-05-07,386905911,442544510,1969386,66588.0,66284.0,2936520.0,1862.0
180,2012-05-08,179241550,205065620,571413,31301.0,30721.0,1478001.0,857.0
181,2012-05-09,215132672,246141290,1200783,36282.0,36693.0,1742553.0,1024.0
182,2012-05-10,257679250,294851809,857759,43556.0,43248.0,1951872.0,1220.0
183,2012-05-11,417306683,477626841,1698585,69013.0,70121.0,2975817.0,1961.0
184,2012-05-12,470151970,538291917,4706432,84853.0,84349.0,1922843.0,2188.0
185,2012-05-13,395377709,452858607,3404856,69892.0,69070.0,1353495.0,1823.0
186,2012-05-14,310934038,356105999,1079101,51128.0,50287.0,2150286.0,1423.0
187,2012-05-15,298178298,341489855,970037,47752.0,46901.0,2298194.0,1356.0
188,2012-05-16,323769215,370812624,1093186,53753.0,52949.0,2440342.0,1463.0
189,2012-05-17,512655945,587210303,2122339,83312.0,83006.0,3530159.0,2297.0
190,2012-05-18,541053667,619835660,2488485,84652.0,85915.0,3443099.0,2399.0
191,2012-05-19,486581868,557432682,3682287,80190.0,80894.0,1836436.0,2136.0
